evaluations raw_y
1 9.8797728775
10 7.1055627853
13 6.8553253421
14 6.4604006797
16 5.3139510479
87 4.6574687984
136 3.1901961253
443 3.1643899264
549 1.7075439698
5100 17.9965529075
evaluations raw_y
1 6.4654562808
23 5.1257938715
162 4.1053170918
213 4.0162292169
277 2.9698530672
427 2.3033080510
506 1.9276372656
5100 11.5849087895
evaluations raw_y
1 9.3697528466
2 7.8786748666
5 3.3439726844
53 3.3053971564
963 2.4725150102
1147 1.9205415337
2208 1.8887649686
5100 16.9306922870
evaluations raw_y
1 18.7935309912
2 8.1337438524
10 7.6275381777
41 6.9037652987
49 4.8284092177
62 3.8015203614
265 2.7860598678
1723 2.5937751364
1839 2.3330609853
2818 2.0897736462
5100 6.2365427245
evaluations raw_y
1 25.0099200027
2 21.6505717004
3 8.7834526474
11 3.8508380493
23 2.6278687677
534 2.5785267946
1399 1.9135468834
5100 30.2386561456
evaluations raw_y
1 32.3284279799
2 8.0467017804
8 5.2219550951
17 4.8171853435
109 3.7516445792
148 2.7769121121
2498 2.1420105921
3944 2.1988185017
5075 2.0609973717
5100 6.4558766958
evaluations raw_y
1 9.9466912656
4 10.7868879941
5 7.2589821067
9 8.9203475689
17 8.0674723859
21 7.6446263314
41 4.4130291829
303 4.2765835323
376 3.5920224106
728 2.5372943627
5100 32.9380724224
evaluations raw_y
1 17.2046250464
4 12.4670900795
9 11.8671763260
10 10.8604233294
11 8.0990097454
20 7.3937584518
25 3.3004783683
258 2.6154405211
708 2.5171652502
5100 13.6526633404
evaluations raw_y
1 13.8558684850
4 12.5821639542
7 9.2399147914
8 10.0295743589
11 6.6715841435
41 6.2140368189
52 5.5553450341
132 4.9813910807
141 4.8056485138
227 3.7239908534
231 2.2940573991
2417 2.3338383103
5100 14.1020988473
evaluations raw_y
1 6.8445198126
17 6.7151291715
38 2.8870409800
3068 2.2977841010
4376 2.2883075422
5100 16.0362049182
evaluations raw_y
1 5.9415338348
6 5.7528417267
22 4.0670042873
301 4.0069832617
356 3.6467729284
605 2.9348816259
661 2.8093895283
1849 2.4345451131
5100 9.1761988262
evaluations raw_y
1 26.8255708375
2 11.4497150926
4 9.1944813612
10 4.7085308429
49 2.3655737776
1319 2.0642998955
5100 24.1910588772
evaluations raw_y
1 28.4785860270
2 25.2313045489
3 11.8642509383
4 9.8570852145
14 6.7784003892
26 6.5495853865
28 5.8112924372
98 4.1329430769
279 3.7442177512
293 3.5833215835
333 3.5380295940
445 3.0736252635
563 2.4971580368
1460 2.2703950590
5100 26.0465136447
evaluations raw_y
1 17.4078988775
2 14.1366993407
3 13.2445259017
4 7.9185645086
8 5.8355169936
22 3.5332933516
441 2.4158340398
5100 18.2381504429
evaluations raw_y
1 13.8419020591
4 10.6011163530
9 6.7545510213
23 5.1750159776
249 3.9753490424
352 3.7217553498
1184 2.8355386599
2259 2.7429564965
2265 2.4428440195
4778 1.9047487269
5100 22.6736255160
evaluations raw_y
1 17.3738678618
2 12.7054642746
5 8.7425810852
15 8.6589800441
21 6.4337925740
36 5.5008155638
54 4.5273304670
439 4.1432259394
500 2.5804173222
2217 2.5482962431
2392 2.3646721070
5100 26.2714543939
evaluations raw_y
1 15.5282200799
2 14.3872984740
4 4.8647191174
115 4.2635550086
166 4.1882080879
176 2.5980547472
964 2.8352906422
1243 2.3905254839
2472 2.3469156419
3013 2.1769830693
3858 1.4000417106
5100 27.3772103561
evaluations raw_y
1 14.8423425524
2 11.9466816467
3 8.9507517273
7 6.1379913465
11 5.0307416236
204 3.5482879662
246 3.0186318650
2998 2.9298264083
2999 2.8251075741
5100 17.3986890728
evaluations raw_y
1 21.6558002038
2 16.9670543276
3 6.0789286562
19 3.9884507547
34 3.2642814494
1086 2.8292747542
1815 1.9411976656
2890 2.1831493773
3690 2.2591818305
5100 6.7142042143
evaluations raw_y
1 9.2714374944
2 8.2048332753
4 7.7035201045
17 7.4379222688
19 6.1428724884
38 5.5899919241
39 5.0036015665
88 4.6450639148
131 4.3278669909
181 4.2241780007
230 3.9471961151
836 2.7984435854
1137 2.8022521065
1723 2.7780683276
5100 14.9290166377
