evaluations raw_y
1 12.0527775391
3 5.7391081383
6 3.1873097979
929 3.0323407114
1823 2.8222857472
5010 9.3195252147
evaluations raw_y
1 16.8407566057
2 7.1712541851
52 6.0433815324
58 5.1495856200
69 5.1580268058
146 4.9385844384
195 1.7590220801
5010 19.6093782087
evaluations raw_y
1 15.0629559522
2 8.0789943369
30 7.7671003922
38 3.8945209049
141 3.3554947539
175 3.2238365136
1539 2.1494056752
5010 19.7224870088
evaluations raw_y
1 24.0133042167
2 9.8931510809
9 7.6617183917
71 3.6069041126
134 3.5896041253
219 2.7547830576
3216 2.6474144030
5010 13.6851665707
evaluations raw_y
1 24.1071156321
2 20.7177638569
3 15.1835940834
9 9.9913050067
12 9.8664079570
13 8.2117636934
15 8.0856989489
42 7.8968927901
70 1.7146154102
5010 18.7471187284
evaluations raw_y
1 7.3806456746
4 7.3067944301
51 5.2803394563
384 4.4083924837
533 4.5590416335
760 4.3600750686
864 3.8394506533
1016 2.7069521819
1552 2.0853242608
5010 13.2099962714
evaluations raw_y
1 24.7917227986
2 17.4386733895
5 12.3942640105
13 10.7917708972
21 9.1803547644
24 4.8791390814
89 5.1949720225
115 5.0340980330
447 4.5436394201
985 4.0104728424
1062 3.6305250577
1080 3.9520480254
1221 3.5348794178
2488 3.3567927581
2752 1.7989034550
3774 1.8013900234
5010 18.3978941964
evaluations raw_y
1 14.0567882674
2 8.9815352562
6 8.2564251896
37 7.0857277714
55 6.4561942229
99 5.7126415549
202 4.7294382578
373 4.1671695861
1153 2.2374798356
5010 9.9660175115
evaluations raw_y
1 22.3286211555
2 21.5286758767
3 18.3000457503
4 6.3983244127
96 4.4883012683
253 4.9149400983
388 3.9730181522
508 1.5462856948
3149 2.4784819659
4840 1.9730431516
5010 16.9163587598
evaluations raw_y
1 12.7597566296
6 11.6701045239
8 9.2748656808
14 5.8353399030
15 5.0831038221
254 3.2165327983
1090 1.9848445323
5010 9.3463968369
evaluations raw_y
1 14.9388693452
3 13.5049351701
4 10.0146043781
5 8.9111450109
7 7.6146087109
8 2.8257486883
4601 2.4033042218
5010 15.1451363991
evaluations raw_y
1 18.9013586172
2 17.1780366509
4 5.3763143861
60 3.9451849011
433 2.9773462553
1363 1.8108290626
3186 2.5529039431
4899 2.0845369997
5010 23.2514996701
evaluations raw_y
1 11.8908757929
6 8.1546620568
36 7.0887192408
57 6.7250172950
112 4.1245386278
178 4.0973199081
297 4.0666862441
372 3.5748483727
594 3.4196900521
1391 3.0426497057
1543 2.6535835865
1980 2.1735114486
4086 1.7213795436
5010 21.1769867636
evaluations raw_y
1 17.7203203207
3 10.6213975665
5 10.1053576128
6 9.6832521329
12 9.1768413470
14 8.5991198346
66 7.9672443745
67 7.0024667607
90 4.8907815918
248 3.2374518549
777 2.8692658845
1134 2.4298211698
4717 2.0218679690
5010 14.0527275592
evaluations raw_y
1 26.0096262204
2 5.7390254138
30 4.8969239183
342 4.7443519844
369 4.5991530095
540 3.5650704482
854 2.7344456399
1918 2.7183165912
4287 2.0597833878
4914 1.6600290601
5010 9.1120384502
evaluations raw_y
1 24.9221112151
2 24.3359762847
3 10.0757437446
5 8.4015349986
10 5.1590718502
130 3.5284014451
159 2.3968503671
1890 2.1096356803
5010 13.9208715198
evaluations raw_y
1 16.9603563928
2 7.8366678706
23 5.3653295733
53 3.6594107632
852 3.4354093882
909 2.5961710850
2213 2.1482937133
2351 1.8937292115
5010 19.8101693875
evaluations raw_y
1 8.9302322307
5 5.2783012661
157 3.0197278691
1062 2.3504541538
2932 1.8607457610
5010 12.5843774994
evaluations raw_y
1 15.6349151795
5 13.5867258012
6 13.2418834900
13 8.7301536917
28 6.6047514028
42 5.4532036876
54 5.0622122500
225 4.9882721212
252 3.8834607385
1253 3.8745230220
1296 3.5302958743
1390 3.1404619362
2557 2.0787717988
5010 17.7127687036
evaluations raw_y
1 6.0761772177
118 4.9053695359
195 4.6681277806
384 4.5342458951
984 4.1416101065
1481 3.2155639111
2605 3.6204542514
2697 3.5448211870
3238 3.4929166363
4343 2.5119684468
5010 28.7078545262
