evaluations raw_y
1 10.9250939486
2 8.3500542588
14 5.4772359280
62 5.3248339129
434 3.7240285081
517 3.5340418874
1519 3.5231280291
3198 3.5058470994
3229 2.9156704137
5000 12.9230537654
evaluations raw_y
1 9.7017852494
5 8.2018551469
12 5.0326485505
627 3.1642890403
959 3.1393779521
2190 2.7015657796
2318 2.4536482744
5000 6.6640558972
evaluations raw_y
1 15.8004738817
2 7.7846433149
13 4.4010547186
301 3.1524950158
1754 3.0520648093
3838 2.4909959807
5000 14.8811514274
evaluations raw_y
1 17.1153184197
2 13.1460842831
4 13.0960807995
7 12.4673385211
8 12.4450613818
13 8.9181226888
15 7.4729037676
20 5.3115632118
64 4.7439573769
267 3.8275548464
1433 2.7751397116
4186 2.6584659554
5000 16.3418966000
evaluations raw_y
1 26.7506637010
2 10.7609660014
9 6.0345833485
104 4.1212679394
558 1.7110889291
5000 21.4478408114
evaluations raw_y
1 19.8976477786
2 12.6438812225
8 7.2433739679
62 7.1081357557
148 5.0072495913
437 4.2083459132
981 3.1398728181
1839 2.5108785609
5000 7.0235906860
evaluations raw_y
1 13.0158978011
4 6.1571256339
9 5.7925046728
35 4.8273163247
116 4.7795410008
117 3.8218921137
144 2.7004993156
3197 2.3327870260
5000 21.0973299171
evaluations raw_y
1 29.7006662839
2 7.3338180616
3 6.7373859316
6 4.1433653501
37 1.4687831077
5000 18.5760535347
evaluations raw_y
1 15.4167271315
2 13.3851975073
4 12.6374735630
5 7.2817029248
10 5.9664271862
63 3.3151917014
709 2.2264322287
3144 2.0354943678
5000 14.0947884093
evaluations raw_y
1 12.7462571762
9 8.8714982916
12 7.4183639353
17 6.4504921008
115 5.3974358483
309 4.5276190868
435 3.4642601515
750 2.7488477463
3506 2.6547376371
4511 2.1350567368
5000 21.0518476624
evaluations raw_y
1 5.8395764922
37 5.1706847384
158 4.4773648300
637 3.9730983151
1743 3.3375552217
2672 2.6007306598
3471 2.3534999886
4558 2.1397528696
5000 6.5599914556
evaluations raw_y
1 5.2333564262
23 4.9315948742
309 2.7866142432
901 2.6771526176
3663 2.4030886363
5000 11.5193675836
evaluations raw_y
1 12.4099926637
3 10.4312705214
4 9.1482585690
9 8.8315344921
20 7.8306513334
66 3.3486773560
384 3.2206644128
2029 2.7980526750
2069 2.5185258850
4474 2.5107583661
5000 21.1682763430
evaluations raw_y
1 17.4682048406
2 8.5198314919
27 3.8808666928
828 3.1254258605
879 3.0641829883
2148 2.5798572547
5000 26.3600330822
evaluations raw_y
1 12.8224643058
2 12.4862119180
5 6.8892537280
9 4.7720662387
78 3.0338825934
3271 1.0833301607
3470 2.4271872577
5000 13.6094036065
evaluations raw_y
1 31.2806136287
2 11.7913135533
6 6.1033622931
8 6.0679899620
13 5.6670146005
30 4.0389036373
119 2.5630000099
4621 2.2980967057
5000 23.9489822350
evaluations raw_y
1 6.5512570857
15 5.2689648772
112 3.0035808058
871 2.8198672804
2268 2.7900887201
4117 2.2092514648
5000 18.0960401865
evaluations raw_y
1 10.4147665788
2 10.2546620725
3 8.6753806902
4 6.7367780852
25 6.0928196363
31 4.9977094503
63 4.8581660613
120 3.0125458387
4189 2.8365287092
5000 22.3350908781
evaluations raw_y
1 7.2594893008
35 3.1870074421
1905 3.1918907026
2194 3.1736857333
2999 3.0163872389
5000 20.6320333933
evaluations raw_y
1 10.7815208653
8 10.6539757179
13 6.6167141875
14 6.2715027919
61 4.4897984646
65 2.9936056889
1626 2.6945925083
3118 2.4513133317
5000 19.6396274833
