evaluations raw_y
1 9.9727801774
2 6.5763334393
8 4.8210048738
124 3.5411578304
1081 2.7570705153
2984 2.1881521905
5000 20.5450329206
evaluations raw_y
1 25.4296629464
2 7.7419361095
6 3.9555388334
126 4.0778892243
736 3.6758823957
744 3.1647071108
828 2.4859072302
1166 2.2309727589
2417 2.0198240003
5000 25.9849100868
evaluations raw_y
1 21.0938088203
3 9.6044197687
12 9.1718439989
26 5.7261045413
172 1.9131694232
3474 1.6944328265
5000 24.2312427983
evaluations raw_y
1 24.0265762746
2 13.3572327005
3 9.3072000692
4 7.3630649594
20 6.7488559111
26 6.7898288511
31 5.6472976434
37 3.8226655351
928 3.2777199016
1461 2.8238146906
2461 2.7275253405
2587 2.2814604612
3885 2.1960137377
5000 11.8452999243
evaluations raw_y
1 22.8873790995
2 19.8958498791
3 15.2439669977
5 7.8500026579
21 7.4651104850
50 6.8946957683
86 5.5859862477
158 4.7835188392
340 4.2869037267
790 3.5038667142
828 3.6216511284
954 3.3085121976
1770 2.5553418380
3500 2.2307350363
4101 2.2041039130
4123 2.1830490734
4159 1.5155277193
4234 1.3838209082
4379 1.2786553384
4403 1.2056396090
4445 1.0548861073
4461 1.0057297980
4465 0.7016691876
4586 0.6547113953
4623 0.6065563196
4771 0.6043382165
4843 0.5667533733
4871 0.5069262813
4898 0.5055385494
5000 0.7975269672
evaluations raw_y
1 8.2977156859
11 6.9116161590
12 6.2582509324
55 5.2554927907
145 3.8791719752
222 3.3335929677
2018 3.2240292305
2373 1.6195830880
5000 2.8560430015
evaluations raw_y
1 16.6323657644
2 12.3840698894
5 11.8855408438
16 11.3573127630
19 7.5848665011
21 6.6765646762
96 5.9567292678
123 4.4966029454
149 3.0209308780
1609 2.7084166793
5000 8.0155660329
evaluations raw_y
1 20.3226625516
2 14.7663384072
3 7.1264701809
11 5.4053457141
62 4.9225225979
111 3.9091655197
233 2.1996357982
2899 1.7518444306
3172 1.5544726298
3183 1.4850961718
3213 1.3693084151
3254 1.1282311956
3333 0.8993434607
3504 0.8874164592
3524 0.8541951968
3568 0.8335873518
3572 0.8027119370
3617 0.7923887964
3644 0.7919088582
3653 0.7484089586
3745 0.7372117357
3809 0.7355858888
3817 0.6990818482
3879 0.6753949223
3980 0.6648535023
3997 0.6607271633
3998 0.6561041250
4060 0.6475521774
4068 0.6186115680
4150 0.6094383291
4160 0.6054774210
4221 0.6025213797
4223 0.6012146547
4249 0.6009856062
4261 0.5900472305
4358 0.5780818361
4471 0.5764861485
4479 0.5714705882
4542 0.5559074292
4587 0.5551058144
4605 0.5503532330
4644 0.5498589325
4679 0.5462247813
4712 0.5377988561
4903 0.5263353643
5000 0.5897071420
evaluations raw_y
1 15.4118758971
3 9.8957920136
16 8.6345351683
41 8.4810517201
45 7.8978520547
53 7.5102704652
65 3.6380933387
345 2.0584230309
1960 1.9875101391
5000 2.3089699892
evaluations raw_y
1 13.5994291987
6 11.0382176266
7 10.6646805957
10 9.1983718777
11 8.0137530940
23 5.9489229148
30 5.3207412811
59 4.0700801069
215 3.2867697711
284 2.6225909898
605 2.4094720731
5000 12.7303777843
evaluations raw_y
1 16.8686527589
2 12.7345975666
4 8.8365842005
13 7.2310815178
16 5.9413686435
54 4.3681505667
348 4.1886757026
421 4.0770574722
777 2.5211542133
4685 1.9280518253
5000 13.3278960207
evaluations raw_y
1 18.2303610566
2 13.5092264956
8 7.1498213636
57 6.7052853728
60 6.4040311119
61 4.5245676028
99 4.4794421912
150 3.3217069840
267 2.0396371614
5000 15.1992787694
evaluations raw_y
1 15.0224889279
3 10.5371577364
9 8.5497636759
15 6.1090607116
65 3.5289690211
166 2.3489066986
230 2.2888236944
2351 1.8220862786
5000 18.5746261110
evaluations raw_y
1 8.1906107345
2 4.1455705756
35 3.6576701499
123 3.5330904263
1570 3.3181152106
1623 2.1779676136
5000 22.9792800629
evaluations raw_y
1 24.1889007167
2 20.5811130216
3 10.8224723564
14 7.5093526883
15 5.9100506601
27 4.9883692049
58 4.7716630884
167 4.5556336839
211 3.0384633924
1581 1.4850492093
5000 14.5651450598
evaluations raw_y
1 28.3891898158
2 22.2756964829
4 15.7942351860
6 6.9524155005
38 6.9664272229
47 5.4264094446
58 5.1871238281
271 4.3627094580
499 3.7160105605
618 3.3581108528
768 2.1395373753
4760 1.4737367809
5000 16.1995851829
evaluations raw_y
1 10.7840502095
12 9.4555084282
18 4.3924882902
45 4.7389421900
100 3.0965168667
447 3.0087505474
1434 2.8979804251
3523 2.3656064882
5000 7.0600979340
evaluations raw_y
1 6.5217059835
38 5.6740546718
91 4.4001448435
176 5.0506904321
224 3.3328134652
632 2.4284814834
2129 2.0261226635
2573 1.6397552640
5000 9.3462839727
evaluations raw_y
1 18.2435860607
2 8.5618228579
10 7.0666095543
52 7.0692496600
81 5.5275929243
107 3.8982078251
284 3.7367238857
703 3.1263725927
1306 2.6117207724
1921 2.3138362644
5000 16.5436967620
evaluations raw_y
1 24.1740283489
2 14.9059748990
4 7.8593778369
17 7.2159497866
24 6.0241053938
32 4.7925764816
50 4.1136921125
372 2.7127589727
457 2.4204777522
663 2.2846625369
5000 22.0012886545
