evaluations raw_y
1 17.1702783672
3 14.4905180887
4 7.0044197597
16 3.7705585432
444 1.0996834989
5000 14.9055276311
evaluations raw_y
1 26.8231469645
2 8.2542769938
6 6.8429331924
22 5.5172999555
133 5.3946332086
141 2.5437994037
740 2.3943953545
2334 2.0613200366
5000 3.8187338333
evaluations raw_y
1 5.3583296788
5 4.4281413786
142 4.3300579001
163 3.5664814885
916 3.4478689161
1202 1.7206552304
5000 7.9802980929
evaluations raw_y
1 5.5653702913
125 5.1507642367
133 5.0127353944
317 4.4604082363
679 3.8256781218
766 3.1900205449
788 2.6329664711
2524 2.2994149419
4981 1.8360227035
5000 20.8940583193
evaluations raw_y
1 16.7687103230
3 12.2014167506
12 7.0212288430
28 4.1190031403
173 2.8633803216
667 3.2580544622
732 3.0991725578
967 3.0911279177
2268 2.6871695765
2408 2.5539093958
5000 13.4626875425
evaluations raw_y
1 12.5821643266
5 8.0753319549
30 4.8475444996
95 3.8994634929
174 3.6684888110
415 3.0665291776
920 1.9670833217
5000 10.6009775031
evaluations raw_y
1 15.1845401371
7 7.6078266346
9 5.6339592725
34 2.9139234625
1261 1.7872542115
4734 1.5717492434
5000 11.9634217222
evaluations raw_y
1 12.9093765691
3 11.2312261306
6 4.8658972197
36 3.0640252511
97 2.5450417320
3765 2.2717397643
5000 30.9240737570
evaluations raw_y
1 16.9484143188
3 15.8004395717
9 9.9682707633
24 9.7066313180
29 8.2747011762
38 6.4762488154
43 6.0105766310
88 5.0902253414
198 2.8963799028
229 2.3291089437
816 1.9828337748
5000 10.3681059251
evaluations raw_y
1 21.7856978045
2 19.8757890584
3 14.9903433745
4 12.9453075481
6 6.1397608509
16 3.0810552865
1178 1.9828534973
5000 28.9885821412
evaluations raw_y
1 14.9153748612
2 13.0451487523
4 5.1841234529
23 6.2433217501
41 3.6591071236
189 3.1934177649
287 3.4881297853
428 1.9465400339
1389 2.0764852839
3884 1.6832950116
5000 9.2661202419
evaluations raw_y
1 28.0917434730
2 12.5096802845
6 11.1687834821
7 10.6780363552
11 9.1527255755
22 7.4515509669
56 7.0624016815
57 7.0451350109
71 3.6832576659
1426 3.1806402959
2551 2.4973291146
3254 1.9997232372
3518 1.6850381800
3551 1.6367183064
3561 1.5721443790
3566 1.4586152395
3591 1.3590747780
3620 1.1663218490
3674 1.1409138477
3729 1.0816439049
3736 1.0387014478
3809 0.9344774178
3824 0.9164143008
3828 0.8461738229
3835 0.7754439970
3913 0.7762426375
3981 0.7402592184
3985 0.7423535757
4037 0.6483153639
4088 0.6445833143
4166 0.6145203813
4183 0.5961834727
4300 0.5687864687
4420 0.5666403273
4541 0.5664179963
4559 0.5616395177
4560 0.5596927297
4599 0.5560884641
4651 0.5532114923
4664 0.5485809701
4952 0.5483656111
4964 0.5454619483
5000 0.5499327430
evaluations raw_y
1 9.6923701564
2 9.3000773112
3 6.9895031907
9 5.4615525323
26 3.1673131258
1040 2.9549475560
1102 1.8915230677
5000 11.9412194206
evaluations raw_y
1 17.1287845929
3 14.7673298313
4 10.8769498670
13 8.6344160968
15 4.0434945541
72 2.9869778470
156 3.6722396373
589 3.7017393178
853 1.8522997590
5000 10.5400097331
evaluations raw_y
1 9.6696913287
10 8.4416086513
23 3.9612546998
88 3.4617149319
183 2.6220745961
1459 1.4930635846
5000 23.0291128846
evaluations raw_y
1 25.6618097775
2 13.7166375496
3 5.9005371761
51 5.2637803530
64 5.0320680118
77 4.4244792627
127 4.4095657155
199 4.0260706445
289 2.7464712369
539 1.0366368015
2792 2.3881437685
5000 10.1572151753
evaluations raw_y
1 11.0075867337
3 10.8097145011
4 7.9958867114
11 7.7154519286
25 7.3494435819
38 4.1364816544
112 3.4631219265
628 2.9949941934
1823 2.5151108080
3328 2.4013818795
5000 7.7260281492
evaluations raw_y
1 17.6003869102
2 9.2781710508
6 5.4297726970
114 3.3501931781
265 2.6032192271
484 2.6542808752
5000 17.5193922841
evaluations raw_y
1 16.1585934814
2 15.8794050152
3 8.2584788154
9 7.4080811898
44 6.4625794488
54 4.4948451898
94 3.9492938697
173 2.8949005590
209 3.0557765012
1661 2.0409984648
5000 28.1553911030
evaluations raw_y
1 7.3507705518
12 5.8940355770
24 4.8387674633
30 3.9106262840
200 3.5497180134
379 3.3394724989
1771 2.2516102758
2465 2.8918972188
4091 1.3345919034
5000 14.8260226642
