evaluations raw_y
1 6.6626758903
49 4.5652900729
140 4.2188656944
178 3.6728406401
239 3.2760174267
568 2.8126241524
923 2.5599529295
2316 1.7726107910
4388 1.4667026959
4453 1.1110255532
4457 0.8795956231
4469 0.8432081769
4497 0.7792964471
4542 0.7739750711
4549 0.6011392833
4565 0.4593189041
4669 0.4203378867
4681 0.3546109592
4816 0.3314210867
4895 0.3297018437
4953 0.3277043818
4982 0.3091694277
5000 0.5131888021
evaluations raw_y
1 14.1270352028
8 8.5245424301
15 7.4041612206
19 5.7707022691
20 5.3462322050
29 3.0991249393
412 2.5194132552
1171 2.3988035628
2035 1.6947833720
5000 27.9889733622
evaluations raw_y
1 19.2433279470
2 7.2392205630
23 5.9563356434
24 5.7821783718
43 3.8539015694
65 3.9383045575
100 3.5480377990
642 3.0095592107
1040 2.4936789969
1599 1.9555392961
2276 1.7173966149
4690 1.2154178108
5000 9.1393915209
evaluations raw_y
1 27.7011444859
2 10.6478027572
9 3.5487229543
10 1.6078490427
4555 1.5726915345
5000 12.0743713524
evaluations raw_y
1 21.7208540384
2 18.8978486159
3 11.5442936401
8 10.5985550446
9 9.3721879140
27 8.6388737625
29 3.3862476148
458 2.9706023449
1306 2.4086792873
1382 2.2636907858
5000 12.1209615627
evaluations raw_y
1 17.6280505199
2 13.3903029648
3 5.1741662477
116 4.9605357780
150 4.5343900458
244 4.3411616520
455 3.9191449224
541 2.5048965959
2595 2.2300154844
3698 1.8254045682
5000 16.7138768052
evaluations raw_y
1 22.6149912815
2 19.1886783712
3 6.9801707191
4 3.8179060068
1653 3.4863651673
2125 2.9347036291
2496 2.5380531346
3459 0.9517843962
5000 10.0902620962
evaluations raw_y
1 13.2046646747
4 11.6139049716
6 8.7978115225
12 4.8091194007
26 3.0618967470
340 2.9076112839
2175 2.3746221997
4106 1.8908816918
5000 14.3114581709
evaluations raw_y
1 11.2254012467
2 7.9968835867
14 3.5708536782
63 2.7770445195
775 2.7582319152
1968 1.9888370337
5000 19.6622670435
evaluations raw_y
1 6.3321578177
49 5.5201723432
54 4.6990913003
70 3.9944933266
375 3.5723201049
401 3.4608947630
1156 3.0176088020
2212 1.8884757811
5000 21.8288349620
evaluations raw_y
1 11.2389880468
2 10.1127419846
17 8.2143176915
23 6.3047094247
26 4.7032600292
134 4.0050242146
568 1.9275360041
4489 1.7718490837
4539 1.5635308078
4611 1.3239292424
4665 1.1892562257
4701 0.9088709425
5000 1.5267921474
evaluations raw_y
1 17.6117926742
3 7.0492763585
13 6.5459979911
71 6.0088279893
335 3.7507219536
445 4.1455887217
583 4.1987716366
944 4.0767536363
1001 2.5098849697
1438 2.3859769576
1556 2.8517027691
1669 2.0416079634
5000 22.0388907788
evaluations raw_y
1 15.4421343212
3 7.6458541424
9 6.3021487349
18 5.8000837366
48 5.7047594613
97 5.4115327660
100 4.3381522707
223 3.1761006416
290 3.4782483431
359 2.3287272785
2939 1.6040077367
5000 11.6659304857
evaluations raw_y
1 14.4229777932
3 7.0718947822
31 5.4552033314
33 4.5315320070
122 3.4332817989
615 3.5978302599
674 3.2610822035
1697 1.2337098272
4490 1.0940178012
4925 1.0841144814
4995 1.0467834209
5000 1.2743348825
evaluations raw_y
1 31.9180668028
2 13.7552146444
5 11.5528312604
6 10.7992679790
8 10.0886592702
9 4.0469469144
19 3.3541368440
681 2.7469897874
2705 2.4990930562
4509 1.5615259623
5000 19.9119662792
evaluations raw_y
1 15.9732574127
4 10.7149771720
10 7.6970997941
25 5.5655944308
30 5.0615402157
134 4.9249022418
285 4.8728581330
333 4.5110641930
367 2.5513565469
1925 2.1072406898
5000 14.7895745924
evaluations raw_y
1 11.9665427279
9 8.4154240825
10 7.6123426974
15 7.4055795991
38 2.6258956020
658 2.5526114712
1021 2.4491416533
1357 1.5170989517
5000 12.7615827020
evaluations raw_y
1 7.8467409024
3 5.8893841477
61 5.8143245945
113 5.5757589671
124 4.1017511099
321 3.9740954728
371 3.6321701278
543 3.3637872107
1028 2.7292023294
2579 2.7075301478
2599 2.2513161491
2624 1.4981749349
3475 1.3479212887
3524 1.1818424912
3574 1.0273723889
3655 1.0145714671
3671 0.9821753981
3678 0.9724705720
3681 0.9430537125
3683 0.8713626288
3693 0.8142832872
3730 0.7999464654
3754 0.7460461621
3805 0.6358901573
3951 0.5680616163
3994 0.5514840972
4070 0.5489134854
4090 0.5181475485
4121 0.5062065283
4155 0.5041335772
4197 0.5006438775
4240 0.4949816318
4245 0.4836811300
4298 0.4817396387
4304 0.4779476471
4341 0.4770114207
4355 0.4739370013
4377 0.4627752054
4378 0.4554650174
4462 0.4543750333
4467 0.4511388005
4555 0.4434349272
4679 0.4365146556
4687 0.4296570133
4809 0.4270881868
4846 0.4251772445
4946 0.4202564781
5000 0.4454754632
evaluations raw_y
1 17.9785813877
2 16.7119288615
4 13.4453454449
5 7.3781556838
15 5.2543742524
65 2.9676638881
312 2.6186096695
1523 1.4705185247
5000 22.8277585052
evaluations raw_y
1 19.4151225799
2 12.7526681796
5 5.5049430584
12 2.5158451226
4772 2.4028300116
5000 20.3614925813
