evaluations raw_y
1 23.7007263255
2 16.6154860722
3 8.9009015172
26 8.6450181306
29 6.0546466733
57 4.6491352809
92 5.4341157490
111 5.2949166067
135 2.7695233229
1285 1.4069600338
5000 15.8104741641
evaluations raw_y
1 7.6451136432
3 5.3349497356
319 5.1423468578
394 4.3813687425
407 3.2141759368
715 2.8233021722
1438 2.1378436968
1975 1.8415235567
5000 9.0227006947
evaluations raw_y
1 14.8721497960
2 8.8523677612
13 5.7695273447
23 5.4561930606
63 4.8349957167
84 4.2944753513
146 4.3712805648
428 3.1681191330
587 3.0434678847
633 2.5670053386
1498 2.3544314197
1562 2.1797061809
3076 2.0265246475
4237 1.4731614906
4326 1.3931570169
4700 1.3324340396
4831 1.2973687198
4860 0.9855716554
5000 3.5047492817
evaluations raw_y
1 28.8014347570
2 11.6284065573
6 8.9734350420
33 7.0454741686
39 3.8981934573
307 2.3304894604
1686 2.2393132601
5000 4.9895291453
evaluations raw_y
1 17.1804558803
2 10.6142758763
5 10.0079287253
11 8.1231519813
21 5.2813871551
22 3.1245817316
525 0.9854270183
4824 1.6407492705
5000 10.6866697192
evaluations raw_y
1 9.0729111680
5 7.2190094043
12 7.0061660689
18 5.6153734110
34 3.6040984957
71 4.8673433563
102 3.0877384338
1194 2.4046416150
1914 3.0004544536
3595 2.8478089252
4150 2.7091853258
5000 15.2780373008
evaluations raw_y
1 15.7407662710
3 10.6166800346
4 10.0302619237
7 9.1726943375
17 8.5948613587
31 8.1839533582
42 3.7965337372
847 2.6095384899
2863 2.3284894575
5000 13.2245899840
evaluations raw_y
1 23.7258584401
3 20.3896124935
4 16.6979392365
5 10.3146774370
11 9.4185973617
18 7.9448330746
19 7.3238086687
99 7.1184686736
113 6.8735323940
146 5.9742458844
150 3.6963845352
266 3.6381006595
432 3.0653222951
669 3.2587576142
1502 2.7442816270
4855 2.6947906121
5000 6.0236276864
evaluations raw_y
1 6.0030172983
27 4.8375914668
87 3.0075851815
804 2.3376914811
3569 1.6055389790
5000 16.7404829467
evaluations raw_y
1 11.8394090970
2 9.2800114727
6 8.3749678444
8 7.3767111247
16 6.7099140419
17 4.9450810120
235 4.2834643883
390 4.3137851681
553 2.8417745298
1640 2.0400927649
5000 14.4694265119
evaluations raw_y
1 16.4407431565
2 11.9383914477
5 12.3087055710
10 11.9489512483
16 10.6484098672
20 4.4663940332
70 3.5067535740
315 3.4922355423
841 3.2665584912
1673 3.1069728031
2447 2.7182940483
2790 2.6301148864
4418 2.2337227038
5000 24.2654140859
evaluations raw_y
1 28.2985502587
2 20.4144972046
3 18.9397826243
5 16.6897457310
9 16.4733108851
10 12.1621189124
11 10.2713025523
12 8.0181957001
53 6.1839440893
89 6.7125473647
112 4.9212134666
158 4.6495043664
282 4.0593428392
370 3.3106531688
1367 2.6479541553
2449 2.3596673363
3764 1.8076149371
5000 12.3205476317
evaluations raw_y
1 6.1016011259
5 5.3978702771
69 4.7451672136
79 3.6091959431
277 1.4873871191
5000 21.5874646432
evaluations raw_y
1 23.6515817468
2 10.2354251628
10 9.8664115775
36 3.4979999709
234 3.4590469499
766 2.9269568801
3301 1.6143557414
5000 18.8209670943
evaluations raw_y
1 20.2205208489
2 17.6127634918
4 10.5498922118
12 7.3309072150
46 7.1809270022
73 4.9243315526
176 4.2005339066
247 3.5046413513
385 3.0404368609
1713 2.3766164879
2736 1.8289632588
5000 14.0614032339
evaluations raw_y
1 9.9844989818
6 9.0042265428
12 7.4080999049
25 6.7945322197
38 7.0972650838
69 6.9788577834
75 5.0057020624
142 3.4584043688
226 2.6128224252
1630 2.8556843403
2157 2.5558249253
2801 2.1208188381
3695 1.8460850423
5000 11.3808548449
evaluations raw_y
1 15.4016053124
2 12.9300814261
3 10.8007467825
7 10.0159828184
10 8.5736022186
16 6.6639774703
24 4.2593069163
268 3.7278740820
1817 3.6407493641
1926 2.9783315868
2270 2.7551315654
3468 2.4476091401
5000 11.4637094387
evaluations raw_y
1 16.9071239634
4 4.0869687068
101 4.3893347963
515 3.8378023480
750 1.6131546079
5000 20.6370336289
evaluations raw_y
1 17.4423339630
3 12.0253388034
4 9.1827131432
6 6.1028717456
33 5.9481637894
112 4.9610531406
139 4.0697811369
514 3.7724547278
644 3.3328886228
959 1.8171883585
5000 23.0523495523
evaluations raw_y
1 17.5646728261
2 12.2502529931
5 7.9421961147
6 5.4663678569
14 3.6842206971
100 3.3833478868
1766 3.0085387604
2957 1.6197848077
3389 2.6880395506
5000 14.7171458145
