evaluations raw_y
1 7.6333264941
10 7.4764128646
11 7.1171822013
51 6.4119064959
52 5.4851464565
96 4.9903838091
108 3.0221995659
458 2.5442504450
1346 2.2241369875
5060 24.7964862393
evaluations raw_y
1 17.2477191905
2 8.4217293808
17 4.0858561558
57 3.7051957433
197 3.4037159771
1504 3.1810070447
2438 2.5172784566
5060 18.7874096675
evaluations raw_y
1 10.4958154784
7 8.5035898210
13 7.2663918561
32 7.0755602811
87 5.0817731982
126 2.8417039915
243 2.8310755950
982 2.2806216655
1911 2.2213265610
5060 18.0169173974
evaluations raw_y
1 25.6377070124
2 23.0131960739
3 10.0970118203
7 8.1133277963
15 5.7886540207
41 1.9125239165
5060 23.9911002924
evaluations raw_y
1 16.5192457757
4 10.5522964200
5 2.6743832911
3364 2.6112449770
3781 2.2146644055
4027 1.9012195665
5060 32.5634218655
evaluations raw_y
1 9.9702565910
2 2.8916049430
2088 2.5312763795
5060 14.1014552781
evaluations raw_y
1 7.3399366300
2 6.5137494201
9 3.9563754153
366 3.9385897979
414 3.6586428531
534 2.8569463889
1074 1.7246242948
5060 12.7305953686
evaluations raw_y
1 16.2468705928
2 14.1617061471
3 14.0088279133
5 10.1292061716
13 6.6594132542
14 5.3837707953
93 4.9770621070
204 1.7295660877
5060 30.4711325403
evaluations raw_y
1 32.8454063263
2 18.2603518496
6 9.8044468646
8 9.1858304998
12 5.3336543853
44 3.8717296398
55 1.7893291678
5060 18.0223828032
evaluations raw_y
1 20.3446846491
3 18.6473653267
7 12.2634158207
11 10.7770410796
15 7.1323387868
26 6.9199901119
51 5.4763228817
89 4.9873781310
105 3.2156557069
565 2.9926582353
2154 2.8347406724
3467 2.7508698461
5060 7.3286841389
evaluations raw_y
1 21.9120829423
2 3.7603247569
1084 3.7557301334
1149 3.0444348994
2032 3.0581493486
2734 1.6656398714
5060 10.3319557259
evaluations raw_y
1 22.7837922466
2 14.2484527817
6 10.3788510322
8 6.5051627180
30 2.8723322582
1685 1.9637014759
4895 1.8761070014
5060 11.7952818245
evaluations raw_y
1 8.8747966572
11 6.8218949109
86 3.4176799677
481 4.0216063735
486 2.4627867289
498 3.0439347630
1401 2.9286950863
1589 2.0620393742
5060 5.6565791204
evaluations raw_y
1 8.7359609255
10 6.6570881007
33 6.1771065382
51 5.7688074047
68 5.1252333561
70 4.5437393717
191 4.4896775993
283 2.4511784450
371 2.3860007959
2720 1.9551232240
5060 22.4533466955
evaluations raw_y
1 21.1354129303
2 8.4953572884
4 7.6378487951
6 6.4438590806
45 4.0419468470
132 3.7777525885
133 1.8206230223
5060 9.3298515997
evaluations raw_y
1 14.3454989607
4 13.9447680905
6 9.1242047693
13 5.9673402350
77 4.6031255527
125 3.6568417514
368 3.2966570107
628 3.0861920314
2434 2.3933320253
2950 2.1433133063
5060 18.3853504397
evaluations raw_y
1 7.1441081138
7 4.2547023964
276 3.1895862699
1699 2.8811334394
1953 2.8509076649
2944 2.6986657847
3472 1.5302781010
5060 15.4314612585
evaluations raw_y
1 10.9933866102
5 7.2403951361
11 4.8976435817
15 4.8140055089
20 4.2955269344
243 4.2664178447
308 3.7528745521
324 3.7062693342
343 2.3543335222
1288 1.7542226575
5060 17.5190962469
evaluations raw_y
1 10.5901638854
4 8.3098686595
13 5.6545400480
23 4.7472805579
62 3.4159648515
606 3.0798786715
1779 2.1364606068
5060 18.4395409835
evaluations raw_y
1 12.1076933453
12 6.6548386959
14 6.2746486594
31 5.2269699408
34 3.5992282887
1158 3.2974551746
1382 2.3314459430
5060 7.6981861960
