evaluations raw_y
1 30.7413494768
2 11.5766092852
7 10.8680981201
8 7.0746082808
22 6.1288975776
118 5.2268253682
289 5.0572135066
366 5.0751396235
423 4.1647229706
921 3.8198797245
1063 3.5687290992
1842 2.3405360544
4709 2.2348485660
5000 18.8463284625
evaluations raw_y
1 15.1316293370
3 13.3788749617
6 11.1564402767
9 8.9852868789
20 6.0746273706
24 3.9619670601
170 3.6406867374
273 2.4671845597
1486 2.4134760755
5000 15.1802447411
evaluations raw_y
1 11.8802948817
6 8.9097917423
10 7.8600706653
20 3.9846428971
144 3.1893321717
406 3.3534991131
959 2.8490375482
1141 1.9948996481
4094 1.7932097106
5000 4.0531542586
evaluations raw_y
1 9.5906102571
2 4.6123660510
87 2.8397368131
188 3.1591233867
595 1.9061829298
5000 15.5755237278
evaluations raw_y
1 27.4849761556
2 13.8116105503
6 11.7508184653
7 8.7272743757
15 5.4046108439
36 5.0287646801
142 4.4564978699
183 3.5164580378
945 2.5499691124
1494 2.1937426587
5000 15.3196827758
evaluations raw_y
1 7.5485112326
6 6.2391263725
15 5.8313621191
116 5.5145942976
241 3.7485531162
348 2.9452589478
1439 2.0973801012
5000 29.2234778500
evaluations raw_y
1 22.2992626708
3 21.9534834239
4 12.4195295771
5 8.6549852936
40 4.0669670028
107 3.3689223667
2068 2.3173887782
2647 1.8259695632
3072 1.4990920388
5000 10.8027634414
evaluations raw_y
1 13.7511836793
4 9.6272489159
8 5.7399652628
19 4.7457413659
69 3.4705656388
340 3.3282214608
1032 2.9222538360
1188 2.6626012130
1941 2.1405684185
4998 1.8420507751
5000 12.2820879925
evaluations raw_y
1 12.4237213464
2 5.2432215877
138 5.2121631205
160 4.6625859009
310 2.8097000713
368 3.3090198385
1517 2.5106213752
2631 2.9686946897
4575 2.7291804987
5000 13.2609446496
evaluations raw_y
1 22.6252695623
2 4.4625069534
149 3.4925791963
1857 2.4722970867
4407 2.3637591987
5000 3.9514151207
evaluations raw_y
1 24.2721692360
2 11.9991684884
5 4.5761026975
188 3.3770231830
423 3.2325639311
489 2.6370992082
846 2.5302391454
1323 2.4853085406
2621 2.2401367978
5000 14.3585903517
evaluations raw_y
1 15.8151038696
3 12.1915390610
6 4.2609796900
211 3.8602771792
381 3.0604524151
417 2.3593413573
3290 1.7757040683
5000 10.5064928324
evaluations raw_y
1 11.6533250063
8 3.2323705676
931 2.4853797580
937 0.8337359012
5000 13.4010780993
evaluations raw_y
1 16.8771296713
2 8.1046737309
11 7.0982370710
14 3.5013499540
1435 3.4304999401
1684 3.3149657980
1924 3.2611414769
1935 2.3203625260
1981 1.5366014771
5000 32.6404875613
evaluations raw_y
1 15.9977681464
5 6.3089722058
106 4.0569039502
115 4.2271877855
162 4.7553163618
175 4.0474534565
312 3.8008511435
1514 2.4954875256
1586 2.1918324874
2673 1.6453778500
5000 13.4891935412
evaluations raw_y
1 13.5462214388
4 9.3444722818
18 6.2472119262
19 5.5170709370
47 2.8205316650
263 2.7996449881
313 2.1983646993
5000 8.9534007805
evaluations raw_y
1 17.1278601904
2 10.7879385535
4 10.5430393079
8 8.5030184996
9 7.2747424332
10 6.5859335953
15 6.2749987208
21 5.7946627087
23 4.3888119410
34 3.2739759288
111 2.3149209505
5000 21.2402194330
evaluations raw_y
1 25.5943811412
2 22.8709671204
3 19.8047915778
4 14.3713829741
6 12.8914130186
7 12.8134973908
9 7.6725677255
60 6.9033423806
161 5.5315923235
171 5.4806467953
246 4.5127050589
265 2.8711642008
413 2.6473813059
1657 2.5813878588
3714 2.0564494440
5000 7.7931898913
evaluations raw_y
1 15.1420447067
5 8.4719482485
6 8.2038281191
8 8.1875614299
12 5.8881486465
119 4.0405187179
161 3.9650630654
540 3.1328647707
1260 2.1003404751
3592 1.6584903737
5000 17.9643122807
evaluations raw_y
1 4.6047389039
183 4.4344170207
412 3.9895448526
915 3.5055296018
999 2.0875055487
2509 2.0096881925
5000 18.1530871825
