evaluations raw_y
1 21.7814713463
2 6.5160458154
14 6.0499779662
37 5.8014915044
316 5.6703141160
393 4.2977108100
396 4.1450706763
640 3.7006308211
1094 2.6551654394
5000 10.1238395566
evaluations raw_y
1 32.9109145887
2 18.9980662097
3 11.9466379736
4 8.3147025847
15 6.5205461302
31 4.1786495957
56 2.2654305380
5000 20.9270484599
evaluations raw_y
1 14.3036839402
11 6.1157648559
112 4.6593974392
357 4.6194692750
394 3.8254150961
511 3.0241137892
597 2.9303138673
1317 0.6739466941
5000 10.2313566358
evaluations raw_y
1 11.3304522931
2 4.9720957041
36 4.0407326838
432 3.9116898744
1614 3.5520245252
2154 2.2745225615
5000 26.6890217855
evaluations raw_y
1 25.3201490456
2 24.0800172984
3 14.9484821808
5 9.3900265563
20 4.5155359759
455 3.1691223223
2451 2.8109802788
4760 2.5442670656
5000 4.0770849736
evaluations raw_y
1 14.9512946742
2 13.9549473537
4 8.8001407577
14 7.0958849466
71 6.6874169334
73 5.7018445056
139 3.4663422335
894 2.9737305890
2654 2.1458469869
5000 19.6313345249
evaluations raw_y
1 10.0647541827
5 7.5847711768
18 7.5036792377
93 3.7447866027
420 3.2320183359
1291 2.6933845115
2075 2.1843096449
5000 27.4097106963
evaluations raw_y
1 21.8047923946
2 6.6677088160
55 5.6318477286
112 5.5721774085
119 5.3865918725
258 4.7840371924
420 4.5572032496
679 2.4380956725
1220 2.1744866267
2438 1.8494732764
5000 13.4875077217
evaluations raw_y
1 7.0845122638
31 5.1742183498
51 2.9826207779
3294 2.9116688539
5000 18.8791021878
evaluations raw_y
1 17.2201226858
2 6.0611629762
51 5.8735301163
294 3.9179333378
336 3.7950559008
357 3.0078996165
1220 2.6796872192
5000 26.3479975710
evaluations raw_y
1 5.9636406341
71 5.9073718366
293 3.0692781744
1619 1.4129635490
5000 12.7487297989
evaluations raw_y
1 17.6096126064
2 11.2409388310
8 8.6831978393
14 4.9236686046
15 3.4873462769
211 3.1610716435
2332 2.6672104081
5000 15.6257747750
evaluations raw_y
1 12.1219332302
10 8.0216360480
13 6.5847594921
18 6.2548354509
94 5.3116340416
120 4.9583053775
214 4.6611734656
316 3.0006106787
3335 2.7569073235
4014 2.7435884713
4397 2.1367968868
5000 9.6959382622
evaluations raw_y
1 9.8628883100
4 9.0544175035
8 3.6492690101
200 3.4185752760
273 1.6671555027
5000 6.2215339563
evaluations raw_y
1 13.4550658018
2 10.9271601043
7 7.9852970382
8 1.9730518161
5000 8.3375796072
evaluations raw_y
1 26.0702687767
2 12.7523508168
6 8.5300206898
16 7.8286487092
55 7.6777284456
131 7.1266535364
153 5.9674173968
213 4.2909826748
1314 3.7989576979
2673 3.7639134923
2751 3.7323799772
3094 3.0134958847
5000 16.5129281194
evaluations raw_y
1 12.0411355857
4 8.9390445176
14 5.9529135922
15 6.0368484406
35 4.3267390308
493 3.9346012991
535 2.0955144724
2271 1.9914273191
4137 1.4866777154
5000 15.9193611347
evaluations raw_y
1 21.7896352438
2 12.4275305034
4 11.4527951049
9 10.6996734832
11 8.8571363629
19 3.0144447556
1379 1.9845195032
5000 4.0321791153
evaluations raw_y
1 16.7237844109
2 12.5293160248
5 8.0787077783
9 8.0566432603
34 6.3215504146
38 3.9369688942
3816 3.6043006258
4400 3.1255668490
4915 2.8309072884
5000 15.5391288225
evaluations raw_y
1 23.9683261819
2 21.5673273065
3 17.5118448297
4 14.4747963694
8 6.2176057329
92 5.8743235863
235 4.0138467445
1133 4.1111496478
1655 3.4618258804
1872 3.7691341089
3054 3.0593956743
3540 3.2873657298
3694 2.4319433003
5000 13.3855653940
