evaluations raw_y
1 7.6816009083
7 7.6998027582
55 6.1624517659
58 5.4177114023
127 4.9249068518
542 4.2495419296
758 3.9073143418
764 2.3867909782
1377 2.1019663652
3493 1.6846297778
5000 24.4457368212
evaluations raw_y
1 16.0466543161
2 9.2740747504
11 4.6909798954
21 3.8003932314
84 3.4865581051
1596 2.9699692933
1730 2.3080701233
4251 1.2525732417
5000 18.7799554647
evaluations raw_y
1 23.1439805179
2 18.9803932899
7 13.8716430800
8 6.0579388903
50 5.4682915479
51 4.5290493230
127 4.1363770538
808 3.5650846033
1096 3.5472053879
1186 3.1955563615
1216 2.9717616577
1464 2.8134279223
3326 2.0609015422
4758 1.9564054193
5000 26.6312584658
evaluations raw_y
1 15.3109651439
2 12.0542337020
10 10.1874710136
21 9.9685526117
28 8.1376472777
30 5.1114241621
32 4.5398810930
300 4.1360196645
470 3.9230501241
479 3.1301795475
1133 2.3811246841
2191 2.0371074572
4248 1.5640860320
4249 1.4307584656
4557 1.1365658004
4614 0.9345622975
4616 0.9076475309
4744 0.8918684887
4745 0.5890615613
5000 2.1109810413
evaluations raw_y
1 19.0008547162
2 16.1578940446
6 13.3506365350
10 11.4160354216
14 6.8951692477
50 3.4322022205
605 3.3330138368
763 3.2648668703
1077 2.1652923154
2759 2.0925514919
3999 2.0526481032
4409 1.8416232319
5000 16.6424968766
evaluations raw_y
1 23.7129196410
3 15.0703097612
4 9.1642557142
7 4.0423756940
569 3.8083799942
634 2.8178607215
3308 2.5745424035
3996 2.3678439854
5000 7.5729274767
evaluations raw_y
1 12.5002659755
3 10.3036035362
8 9.3357937228
13 8.3284287003
24 6.4659410972
36 5.3635788984
85 3.7626495378
413 3.5646962513
1381 3.0431152457
1778 1.0587068410
5000 13.1963038656
evaluations raw_y
1 8.8419954273
4 7.6619130008
8 5.0626669956
83 3.4307186971
385 3.2633418038
928 2.1103803366
3586 2.0674454658
5000 35.7740758442
evaluations raw_y
1 5.6826001076
42 4.9532458501
132 3.0289519632
162 2.8447856303
942 2.7037928228
4043 2.5270879267
4200 1.6023585620
5000 11.4684093836
evaluations raw_y
1 14.0205801435
4 3.6258984243
104 3.2129400005
522 3.1408054612
2210 2.7703052926
3454 2.5261107679
4578 1.8953414896
5000 19.5630143827
evaluations raw_y
1 11.7554868738
3 7.5213714321
17 4.4434852068
882 3.6149909555
1466 3.6111640067
1646 3.0091694687
2802 2.3556096864
4893 2.2707035190
5000 8.6861310673
evaluations raw_y
1 13.9291800696
8 10.6629342178
9 7.9277756274
38 7.8774919603
50 6.0719450182
59 6.9594817480
72 5.1573044336
131 2.0908962409
1430 2.9378431107
3812 2.4914694738
5000 14.7161693254
evaluations raw_y
1 25.5983430035
2 5.7410538540
38 4.1560507608
106 4.1993201195
733 2.9133920750
1244 2.6717784607
2186 1.9450962844
5000 5.3644786756
evaluations raw_y
1 26.4271616776
2 9.2858834316
7 3.2530022024
1753 2.6806672596
4265 2.3592072154
5000 12.7787902853
evaluations raw_y
1 25.6108468902
3 24.0895425287
4 9.5011197555
5 5.2858775764
117 3.8053851950
659 3.2041195202
1417 2.9417177507
4119 2.8465859676
5000 5.9715603292
evaluations raw_y
1 26.1938303416
2 14.1899824703
5 12.2663323741
7 10.6764912206
9 6.6742451499
12 5.0616785166
216 4.5551944108
273 3.0226911359
918 2.6388018065
1536 2.2225428762
5000 8.5283727230
evaluations raw_y
1 16.2725158194
2 14.4435039445
4 11.8750804176
5 5.9048009658
10 5.3767450094
107 4.8202164158
126 4.2928948208
217 3.8818718176
327 3.6509529688
350 3.3283628321
363 3.2316043130
771 3.1522190727
1830 2.9529607995
2212 2.6787742742
4758 2.5986365422
5000 15.0150855894
evaluations raw_y
1 38.6125137906
2 16.3247674255
3 6.2132143820
46 4.3212971594
119 4.0317385491
508 3.4254840528
666 3.7558791898
706 3.4715423712
1098 2.7660192382
4157 1.4280001784
5000 13.7074911202
evaluations raw_y
1 8.5828430355
2 7.2376829881
43 6.7516276185
82 5.3454946706
250 5.3134563479
264 5.0839213877
277 3.5444408156
1763 2.7018695337
2431 2.2026793457
3824 2.1549190192
4190 2.1349768929
5000 23.7147815455
evaluations raw_y
1 6.4113384001
25 3.3361271194
202 3.1071101132
1012 2.1788644625
5000 25.5609180141
