evaluations raw_y
1 15.4721019681
4 11.0387149382
9 6.9649582253
18 6.8471251724
56 5.3231478599
65 4.6552711634
268 4.1519725189
481 3.7758994375
1367 3.5002494318
1668 3.4929067764
2172 2.0301142162
2740 2.0054823979
5000 6.3715723533
evaluations raw_y
1 18.4509557924
3 15.0321539808
4 12.4344683487
6 11.4779508309
11 10.4653111426
22 10.4568340601
35 9.0995958600
51 3.9674700988
85 3.1308595450
1978 2.7176800903
4588 2.6630662901
4656 2.2360083300
5000 6.1107244482
evaluations raw_y
1 19.1254716350
2 11.8190967588
6 11.8806695915
9 11.3620683528
21 10.4140071802
24 6.6973717140
55 5.2887220756
60 5.0134910729
146 4.9111806637
229 3.0738930207
927 2.9653698983
1184 2.3076879484
5000 26.2643412040
evaluations raw_y
1 20.3179917695
3 7.9980989728
32 6.6067431418
88 5.1389642572
106 5.1322789135
208 4.1911806221
262 3.1188392340
693 2.8241033436
1581 2.5114806014
1759 2.1042927749
1873 1.9562759365
4053 1.1046080762
4851 1.6236714839
5000 13.4744426757
evaluations raw_y
1 15.1942131519
2 14.5090499005
5 7.9723567075
11 4.9274722682
126 4.6391048499
296 3.2156183137
524 2.1566516849
5000 19.6378153991
evaluations raw_y
1 13.4742462986
2 5.7810899467
80 5.6155953170
135 5.1463256226
166 4.6923651773
193 4.2667000764
286 4.0319345896
546 3.2928807202
1160 3.5436875009
1312 2.6275262885
1347 2.3541919145
3962 2.3997348436
5000 16.3874128340
evaluations raw_y
1 18.2628286263
2 9.5571487487
3 7.8635021317
19 6.3022574427
31 5.9746706128
50 5.2458482721
128 3.3005629758
149 2.9082863831
871 3.0073202779
1874 2.4664895078
3388 1.0657276354
3638 0.9894316400
3679 0.9414408164
3738 0.8725465229
3761 0.5786001140
3920 0.4072826852
3998 0.4011525959
4017 0.3645761283
4032 0.3251391327
4058 0.3224554897
4169 0.3159733724
4363 0.3087863140
4377 0.2893646117
4434 0.2792255850
4456 0.2637203359
4468 0.2601733620
4490 0.2296752501
4552 0.2193793057
4693 0.2172943325
4785 0.2100233577
4933 0.2068716766
4942 0.2048836973
4995 0.2047302594
5000 0.2316640744
evaluations raw_y
1 9.8969432895
3 9.2415982062
9 6.1698449106
105 3.8124669113
504 3.6370212650
547 2.8777875521
1263 2.7806435767
2422 2.6815568305
2616 1.8558053286
3970 2.0294469957
4577 1.4840604959
5000 9.8451590826
evaluations raw_y
1 6.7682603685
18 6.0140892515
37 5.1833559159
71 3.6520016219
218 3.0982074895
277 2.9019446868
667 2.8755125952
1510 2.7606149301
3208 2.0504540406
5000 9.8169811309
evaluations raw_y
1 22.6690347879
2 14.6249792369
4 14.5310073356
8 13.7093283798
9 11.2994101071
22 9.8768827848
23 8.0377617243
35 7.6110695109
37 8.1476239246
41 2.9835619395
1849 2.0424284833
3571 1.3937689384
5000 16.3865776191
evaluations raw_y
1 16.8192798671
3 10.3125534498
4 10.5070274919
9 6.4398165823
20 5.6211147461
32 5.4653921256
60 5.1137652945
73 4.8233584540
269 4.6191412138
283 3.9158867055
363 3.4334604431
768 3.4167287036
807 2.9270406524
2233 2.4297848565
5000 18.5872988856
evaluations raw_y
1 9.0315621112
17 7.5567031961
27 6.5691122761
34 6.2551328819
43 5.0899287820
92 2.5481362223
5000 3.6713280315
evaluations raw_y
1 13.7006561030
3 12.8119802207
4 7.7567271615
9 6.3238382912
21 3.9836703878
608 1.4228421320
3101 1.1677440744
3247 1.1619019473
3338 1.1223004900
3379 0.7760433704
3495 0.7593311877
3509 0.4251980091
4120 0.3770155190
4396 0.3683230251
4417 0.3574837361
4461 0.3551169679
4471 0.3543287919
4502 0.3535319643
4511 0.3488360483
4551 0.3471226119
4594 0.3236906120
4614 0.3171751579
4622 0.3130638955
4853 0.3116912633
4877 0.3046003456
5000 0.3438540323
evaluations raw_y
1 13.4406820678
3 8.1083354184
10 6.5514605468
17 3.2165338136
249 2.7835498541
3928 2.6803716675
4516 2.5515622871
5000 10.5059101875
evaluations raw_y
1 11.2983574269
5 10.1417366961
8 8.2005052372
22 6.7480998184
25 6.0366648883
159 4.1430837551
434 4.3085419984
476 4.1758243125
683 2.9698750889
1033 2.0468541117
1475 1.6624011577
2811 1.1502641092
4102 1.0689208840
4190 0.8814896067
4782 0.8162619694
5000 0.9488811796
evaluations raw_y
1 13.1011114509
3 7.5888401340
13 6.8664691228
25 5.8575588238
72 5.1041223848
117 3.5396076942
1331 3.1387721402
2544 1.8869705500
5000 11.0539737703
evaluations raw_y
1 25.1881915644
2 15.9810348473
3 15.6865105313
7 8.9220828610
9 8.2234427970
10 4.7427168783
46 3.6034999935
444 3.0988530333
490 2.3015301495
1217 1.1950111704
5000 8.2271631942
evaluations raw_y
1 17.2231099262
3 6.2665634786
23 4.6148177921
27 3.2299453710
760 3.1548605801
1074 2.5239710548
2660 2.4468646541
5000 5.4040795962
evaluations raw_y
1 6.4724583461
13 6.0007331576
63 4.5479786336
113 4.6833010957
134 3.3321439102
821 2.9345398364
2362 2.7138504933
2612 2.5887550178
3455 2.0687367756
5000 10.1830410007
evaluations raw_y
1 23.0876342538
2 18.2659032567
3 16.7173522955
4 13.3727215911
6 11.0633728819
7 10.7646042757
9 6.3552331660
82 6.1244922963
173 4.4288972478
348 3.7900988946
559 2.3111671957
3302 1.6250789264
5000 10.5044619919
