evaluations raw_y
1 8.5543209092
2 4.5534258677
142 3.4646506635
5000 6.8548809412
evaluations raw_y
1 21.7095300510
2 14.4496703967
3 13.3199257327
8 9.9150043455
14 9.5936502269
25 8.6853007770
34 6.2884549572
37 6.3132282685
60 4.8848362872
111 4.8481084446
316 3.2944227439
5000 18.0436512440
evaluations raw_y
1 19.3639038705
2 12.9357295446
8 6.6078031425
88 5.8164390517
159 3.3481611119
239 3.0212715043
5000 17.1185863522
evaluations raw_y
1 24.3624362030
2 20.9534761799
6 17.3098446617
8 17.8261626674
9 12.6927927437
13 11.1347034275
16 8.4476381879
22 7.9859189267
57 6.2656585247
58 5.0153862481
107 5.1960149054
5000 9.3222461223
evaluations raw_y
1 17.6437441636
3 10.0206873745
5 7.4804678954
6 5.7577928079
57 3.1950850680
5000 24.1571888669
evaluations raw_y
1 5.7944298568
2 5.4313922622
12 4.3976170555
5000 9.8707250994
evaluations raw_y
1 12.4704046693
2 6.0270166802
105 6.0524047623
5000 9.5726296889
evaluations raw_y
1 13.9173382467
4 13.4475623717
5 12.2369921071
10 11.0799074342
13 7.0382850913
30 5.9399748249
150 4.5661377333
5000 14.8128366787
evaluations raw_y
1 14.6506565757
5 9.7125947555
14 4.9898122696
19 7.9708275424
34 7.9630616563
56 4.8745596481
87 3.2511786934
122 4.5880074995
5000 19.6762039439
evaluations raw_y
1 18.2832667327
2 11.3067940398
7 5.2508396168
99 4.0845257037
5000 23.7154385414
evaluations raw_y
1 13.1042456255
2 12.5774427222
3 10.1731451280
5 8.3470932685
11 7.2480053164
68 6.0687423389
103 5.3215034057
5000 26.8783074594
evaluations raw_y
1 9.8404012504
3 5.6379893288
58 4.4787827226
126 3.5938107318
5000 12.5843305993
evaluations raw_y
1 15.0819852444
2 14.0239253824
9 12.3136819818
10 11.0566238701
15 8.1344614227
23 5.8250403705
115 4.9386231928
153 4.1141041601
5000 8.6850699123
evaluations raw_y
1 13.9480865748
5 12.7237352527
9 10.6627615025
10 9.4337719536
24 5.5053776548
42 3.7921226706
5000 10.0969260639
evaluations raw_y
1 17.9327861845
2 17.2632394157
3 14.7182395951
5 9.0939981104
25 5.1800527577
134 2.5346551546
5000 14.6672214294
evaluations raw_y
1 27.7396304369
2 20.0477842378
5 12.5690199301
13 11.3750459093
22 6.8245150151
53 6.2894747916
5000 20.4057259510
evaluations raw_y
1 13.1124265594
2 10.5972189024
12 7.8936016236
31 5.4372542075
53 5.4330493399
5000 21.6211649283
evaluations raw_y
1 16.5794097710
2 13.5400055107
4 8.5829502770
19 8.1749739888
20 6.2845774896
73 5.4626335454
74 4.6686262515
253 4.3595501013
5000 20.4460393600
evaluations raw_y
1 14.4445346869
3 5.8186731331
18 5.0527664520
148 4.5267510055
230 4.8487763328
5000 14.1394813852
evaluations raw_y
1 10.6037799175
3 5.7883379666
16 3.7660553116
386 3.4998535572
5000 8.9939379901
