evaluations raw_y
1 15.6334992872
6 13.8965397970
7 6.8765676475
24 6.2566619516
37 5.5724755091
168 3.7302120453
1180 2.7774117499
1819 2.4095309344
2753 2.9160297842
3229 2.5002432226
4976 1.8928774780
5000 24.5795957352
evaluations raw_y
1 19.1795160089
3 12.8142720258
7 8.9383312554
8 6.7846540452
41 6.1602998244
42 2.6543660742
638 1.2936784702
5000 20.4849828657
evaluations raw_y
1 14.2864869457
2 14.1939868282
3 7.9758180292
7 7.3427844292
27 6.0196472028
41 5.2286181248
84 4.4345449441
100 4.2090469529
180 3.7085443850
1376 3.4077692059
1435 2.6111049365
2039 2.3252390999
3539 1.6516828871
3541 1.5495240899
5000 13.5365589977
evaluations raw_y
1 15.6970892009
2 7.1842889785
17 7.3914798595
34 3.9602728864
156 3.7962771098
405 2.1218074348
5000 13.9974959353
evaluations raw_y
1 27.1977498410
2 7.0513496990
34 4.3838356826
312 4.0234308163
313 2.4367643671
1487 2.0119949795
2058 1.4547249556
5000 30.5601195674
evaluations raw_y
1 18.0363028741
3 8.3548734620
4 7.3515023153
36 6.7300838828
44 3.8307944859
174 3.7936847676
389 2.3352459969
433 2.1024994589
1064 1.2099630033
5000 12.5527743141
evaluations raw_y
1 16.1227800556
3 8.7627747556
7 8.0729967940
12 6.3983065218
21 6.2457926621
73 6.2453908854
87 4.0542353136
107 4.8423822055
221 4.3425470799
237 4.2788320400
386 2.5980194071
4153 2.3807669180
5000 7.8404630272
evaluations raw_y
1 29.6901697544
2 9.2206626805
3 7.6941030971
24 7.0418022213
29 3.5737652846
399 3.0994166155
1629 2.9398790005
1883 2.9743297469
3145 2.1499921586
3337 2.2458719987
4994 1.9242792406
5000 25.8633503553
evaluations raw_y
1 17.5727198679
2 12.0816122111
3 9.7785450671
4 7.5191799871
14 7.4239594450
26 6.5244544744
87 6.4015213818
190 4.8106425473
283 4.1388941960
297 2.6270495449
958 2.2315167488
5000 13.3613631397
evaluations raw_y
1 21.7119256627
3 13.2135516643
5 9.2738508558
12 10.3408903437
33 7.8536856448
35 7.6509311479
61 2.7012857666
326 4.6297595492
334 4.1889414879
396 2.8679562501
657 3.1153761675
1767 2.1259285080
2956 1.8041619781
4891 1.3797212451
5000 36.5885663734
evaluations raw_y
1 14.7026428313
2 8.5247222150
37 6.9828741576
41 5.9995443233
59 2.1774098020
2176 2.0638863029
5000 13.6410368486
evaluations raw_y
1 10.3155342485
24 9.3282933062
38 5.8568992738
161 4.6769800978
362 4.5880471222
471 2.7557809363
2153 2.0324120229
5000 11.4062394025
evaluations raw_y
1 12.0523082033
3 8.2371046294
5 6.6518826613
6 5.5216510514
118 4.8258151272
223 3.6772345759
1311 2.9616253225
2680 3.0886977750
5000 5.8029652809
evaluations raw_y
1 21.2878715561
2 20.1539906695
3 4.3144450403
307 3.1915697827
820 2.9291555450
884 2.7612174825
1028 2.6022641405
3082 2.0765648151
5000 5.9898525438
evaluations raw_y
1 17.9715222487
3 11.2557111766
4 10.8219231383
7 6.8735840731
9 6.2284916539
43 4.0614437713
142 3.7042233678
249 2.6299654232
316 2.2543886994
5000 18.4550896712
evaluations raw_y
1 19.3255271697
2 14.5859436719
3 6.4281117575
5 3.0226043540
207 2.7113878344
1403 2.1325999964
5000 12.6718428902
evaluations raw_y
1 11.1909885071
2 7.4568865481
12 7.0831981186
19 7.2621351779
46 6.7157077620
56 4.2102502234
71 2.3512269628
259 2.3828542951
4211 2.0056498013
5000 20.2126045759
evaluations raw_y
1 22.3649646842
2 10.2006657782
5 10.1664165502
14 8.9059089162
21 6.8781069228
88 4.5207781725
466 3.5265142107
898 3.2425042522
1921 3.1864269618
2625 2.3613201448
4386 3.0349893981
5000 22.0727039151
evaluations raw_y
1 21.5028890875
2 20.1557864557
3 15.4928255081
5 5.4169049413
11 5.0833118689
24 5.1485989736
150 3.2635896642
1893 2.2832366015
2715 1.9981860613
5000 12.7244500098
evaluations raw_y
1 16.2250808502
3 15.8855555267
4 11.7188377966
5 10.8928961311
8 4.3772195688
241 3.4131644826
1791 2.6834723628
4128 1.5871595141
5000 9.4432093324
