evaluations raw_y
1 13.6702102979
2 4.5862527428
38 3.6878076967
233 3.4504650798
991 3.0514797716
1170 2.2522389460
3438 2.1689659955
5100 10.0201201394
evaluations raw_y
1 17.2900278562
3 4.8531966998
201 3.3432758540
265 1.2146531859
5100 11.1066029396
evaluations raw_y
1 5.5681027024
71 4.6573626671
134 4.2143998543
143 3.5367181780
198 2.7800162944
277 2.5094048798
1397 2.3556920669
3212 1.4627538696
5100 22.5449081616
evaluations raw_y
1 11.7233941016
3 10.1415446773
16 5.9943584640
25 3.6570229879
66 3.4651966967
613 2.8529896611
1918 2.7367635715
4772 1.4271387495
5100 11.9907222201
evaluations raw_y
1 14.8484339458
5 8.5349832432
8 4.5606216116
69 2.5289067373
671 2.2227092370
4104 2.1682268950
5100 13.2400932563
evaluations raw_y
1 17.1047267440
3 4.1591359591
37 2.8975146889
921 2.7656241783
5100 19.0245297084
evaluations raw_y
1 18.7471347915
2 3.7508069870
22 1.4259500953
5100 10.4882007850
evaluations raw_y
1 23.2734536983
2 16.7317951524
3 11.9786689902
5 9.7475622576
8 4.7382186649
43 1.7702084856
1605 1.4363485117
5100 26.1496019352
evaluations raw_y
1 12.4654132802
2 5.2918489631
93 3.6426046421
365 3.4536198286
506 2.9851286851
1183 2.7389605292
5100 9.3929849677
evaluations raw_y
1 18.7459150754
3 12.0423569577
12 8.3431252457
44 6.9405787464
47 6.8565430834
57 6.2385011806
63 5.3434120658
142 3.5733449484
189 4.4513588557
267 3.0347524307
951 3.2279922235
1607 2.8854111874
2845 2.9992183394
2905 2.7998669741
4565 2.7928941734
5100 11.9850514180
evaluations raw_y
1 7.6866695658
10 7.1034884994
43 7.1760014716
54 4.9287286574
78 4.3937573539
131 3.5842337483
785 2.7590449612
3476 2.3261479634
3925 2.2864415137
4884 1.8849894605
5100 11.0604855004
evaluations raw_y
1 6.0602383630
7 6.1975695020
10 5.4208174280
101 3.3672770980
111 2.7908249791
218 2.0129283062
5100 8.9054714367
evaluations raw_y
1 20.7430540570
4 18.2871469520
5 12.6566881953
8 5.8895970967
34 3.7016184069
707 3.2281761181
1787 1.7548538766
4777 1.3885467402
5100 13.3159276384
evaluations raw_y
1 11.8000823849
15 11.5109375559
21 8.6447269960
48 5.1061949044
184 5.0420652419
304 4.8647853681
552 3.8077977613
734 3.1096537415
1194 2.3273794109
2016 2.5901996472
2771 2.2781461473
5100 7.2639350459
evaluations raw_y
1 21.7303950112
2 16.7753980682
4 12.6315838979
8 7.8562261973
17 4.2767929196
107 3.0765434833
359 2.2911387696
5100 29.4414903856
evaluations raw_y
1 22.5570275375
2 8.6543524022
10 6.3001242979
56 5.3065886122
78 2.7296965352
335 1.6914190265
2910 1.4375996612
5100 8.8240643111
evaluations raw_y
1 11.5641494180
7 4.4854882744
24 3.7606932058
27 4.0692897144
791 3.7630729142
926 3.1123772501
2091 2.5387801514
2886 1.8575766883
5100 18.7089913913
evaluations raw_y
1 25.3221093188
2 14.5603274668
6 12.4617259194
7 11.6835598210
8 11.5485889057
9 10.1907566531
11 7.6582037536
13 6.0480728718
119 5.8863486013
130 5.3574756351
148 4.8399310778
187 2.8293206255
1582 1.2643802561
5100 13.5297835122
evaluations raw_y
1 29.5542833356
2 22.4423980727
3 9.5190156781
27 8.3874894199
31 7.8863362707
34 5.6187700829
99 4.5444550760
240 4.5437411717
526 4.3884054877
578 4.1282359806
663 3.1200326568
1782 2.9039152813
3302 2.5290411427
3679 2.7282301673
3759 1.5596655330
5100 30.2359590688
evaluations raw_y
1 19.4488853264
2 5.6654252033
68 4.3718024435
350 3.5726480527
404 2.7339213945
515 2.2862939931
2601 2.0061376818
5100 10.6972246880
