evaluations raw_y
1 14.0202215490
2 12.2796598154
3 7.0208754086
34 5.4167008056
42 4.8835620505
157 4.4111223850
210 2.4210437390
2158 1.8321462073
5040 13.1182137917
evaluations raw_y
1 7.4403338039
12 5.6662580475
76 3.8587017400
352 3.7091893314
742 3.3335673045
1831 1.5472733914
5040 33.7739906833
evaluations raw_y
1 19.6932125792
2 17.3897905075
3 10.9633702377
4 6.5587306378
10 4.0197371028
252 3.0770107404
458 1.7736564445
5040 11.0288658115
evaluations raw_y
1 8.1928581749
2 4.7338911834
111 3.5711900726
1410 2.2342049722
2870 1.8026438935
5040 17.6793115687
evaluations raw_y
1 15.1474789667
5 10.5570555772
22 10.4545461144
25 7.2050378536
39 5.9328127995
48 4.6140472918
585 4.5839446183
693 3.9793749022
1476 2.6393569632
5040 33.1410935351
evaluations raw_y
1 11.0941263786
6 8.0606261373
21 3.0234678617
702 2.8482005625
893 2.7929971179
2112 2.4634273766
2126 2.1335359462
3710 1.4102351344
5040 15.3682292030
evaluations raw_y
1 8.8965602045
14 8.6527301815
31 7.9525516922
45 4.1875025965
238 2.3483110492
5040 8.3733618016
evaluations raw_y
1 19.9926394058
2 13.1900795492
4 12.3804651456
6 11.4429972536
11 10.5571016896
15 6.9010216138
23 6.1986909420
30 5.9592373061
37 3.8940105716
86 3.4561874243
1494 3.3947827263
1761 2.9849037171
2613 2.9024579770
2623 2.7814320985
2805 2.0097369279
5040 18.3559981711
evaluations raw_y
1 13.0711922461
2 6.9266264324
5 6.4357581733
8 2.9045330762
41 2.1803866957
5040 29.5539702888
evaluations raw_y
1 33.2599649419
2 3.9479840129
228 3.7345419111
1952 3.1050459474
2841 2.7287689960
3074 2.6665412817
4821 1.7721943074
5040 9.6132584539
evaluations raw_y
1 19.7958101035
2 10.7790584123
3 8.3720998859
15 4.5886969524
20 3.8002018552
431 3.0817506078
703 2.5288223395
735 2.1669403821
1376 2.6682471158
1960 2.5934607340
2415 2.3019378853
3470 2.1889582078
4006 1.0946283645
5040 19.8834519410
evaluations raw_y
1 11.4089131323
16 5.6662940940
21 3.2685435550
1884 2.6194346066
5040 24.1765845177
evaluations raw_y
1 15.0442033311
2 14.3444312268
3 10.4541848076
19 7.7005574027
31 6.6084149513
46 5.8067703879
76 5.7940165332
79 5.5604621950
115 4.9883233642
132 4.8800941672
288 3.5493035506
531 3.4102107942
1469 2.1814081387
5040 21.3535231931
evaluations raw_y
1 7.4392915057
4 6.1955670912
11 4.6281071865
21 3.7546246798
53 3.5155150841
317 3.0728080655
563 2.7485518411
1774 2.5277825035
2489 2.1991612967
5040 18.7199030627
evaluations raw_y
1 9.1694619997
3 2.7011705630
4670 2.6012785221
5040 28.6181808142
evaluations raw_y
1 11.3021990847
10 9.1738397628
15 8.1589230794
19 5.9206050831
53 4.7897478096
344 4.5452295926
685 4.3749586812
1057 4.2174925408
1080 4.1558756570
1102 2.1742679304
3297 1.6762485621
5040 18.8144379428
evaluations raw_y
1 21.7566225041
2 13.1762962454
3 11.8904709121
14 11.2595246179
20 8.3183045306
39 7.5011531242
80 5.3983252261
205 5.5922955665
217 5.1926867238
222 5.0236859043
615 3.0836735365
880 2.0332883543
986 1.9104856918
5040 14.5561804213
evaluations raw_y
1 25.6255736681
2 12.8131729885
5 11.0682321881
6 9.2670247118
10 7.5621963107
30 7.4093708044
38 6.7569583345
40 3.6812688284
81 2.9069186970
162 2.8009473691
212 2.6336108685
1314 2.0376318269
2254 2.0387590135
5040 16.2572012675
evaluations raw_y
1 16.4808423935
2 9.4295299834
14 7.8876756734
17 5.5760392191
32 5.3124178442
57 4.7770154362
161 3.6914969253
525 2.5532167756
1876 1.8976008517
3774 1.1457556336
5040 6.8376781743
evaluations raw_y
1 19.7249559622
2 19.2457849586
3 11.6437391932
9 4.4549529198
115 3.5119190533
118 3.1908010979
1364 1.7046843641
4299 1.6473454382
5040 7.1707776858
