evaluations raw_y
1 18.1622550790
2 7.8681553271
13 7.5256345238
14 5.6766553441
51 5.0039323948
105 5.1402292675
562 3.9486962900
579 2.3550321799
4232 2.2131183576
5000 23.4354728171
evaluations raw_y
1 21.9482677995
2 4.9209117918
77 3.7754020855
188 3.9023381110
935 3.6252320151
1044 3.0651406795
1070 2.5984397081
1887 2.5374071625
3268 1.7049938243
5000 20.6248399207
evaluations raw_y
1 4.7848974093
119 4.5477793827
145 3.6373718711
627 2.5533045449
1638 2.2477517140
2661 1.8996886024
4440 1.6897370046
4484 1.4622492644
4706 1.2207017824
4772 1.0543008345
4803 1.0378750926
4840 0.9622824944
4906 0.9619965777
4929 0.8779515428
5000 1.5212074903
evaluations raw_y
1 26.4495572914
2 5.3633895389
15 4.6658794429
85 5.0184468099
97 4.9117456176
117 3.6188211632
652 3.5683295012
782 2.9627016896
2492 2.6531831344
2768 2.0950768849
5000 18.8318670690
evaluations raw_y
1 8.3228693606
7 5.8783337238
98 4.8862190364
120 4.2648222296
436 4.2592598182
880 3.8935715361
977 3.7704642802
1073 3.2937722683
1445 3.1165560805
1708 2.4783865817
2964 2.3571327036
4726 2.1277931682
5000 13.6346058547
evaluations raw_y
1 22.0801142642
2 10.4795898069
6 7.7291880863
24 5.2045242139
36 4.9739260403
65 3.8159669626
202 3.7000361674
479 2.4150112163
953 1.4992631889
5000 18.8648310923
evaluations raw_y
1 17.4723212629
4 10.1652450950
6 8.5796007328
12 4.1062784100
84 3.6544076951
369 2.9799388360
1190 2.6781532829
1716 1.9775574631
5000 11.4298553692
evaluations raw_y
1 13.4252046126
7 10.6573446793
8 5.4021955830
58 3.2391476503
586 3.1303593115
806 2.6322719865
1573 1.7514217933
5000 11.6385527909
evaluations raw_y
1 8.8829446528
7 6.4961604185
35 5.7309125436
69 4.6322971118
107 3.9052149488
209 3.8771534378
1141 3.5962576239
1390 2.6517548108
2075 2.5827032909
2650 2.5411579854
3351 2.2813872501
5000 21.0314675088
evaluations raw_y
1 11.8064380063
11 5.9690381378
46 5.3040211449
48 4.2158530641
314 3.8955544542
605 2.7801049726
1120 2.5000117037
2086 1.4143833905
5000 0.7591325170
evaluations raw_y
1 16.9394020246
2 10.5152067264
14 8.0849353749
38 7.3638238157
42 7.3261380685
46 6.7767313126
58 4.1460745280
182 3.2707635524
256 2.1329967958
2972 2.5582361533
5000 18.9625897384
evaluations raw_y
1 9.2566693767
3 5.8623791264
25 4.2817182829
30 3.2555740036
1176 3.1830710020
2177 3.1317942671
2489 3.0503433241
2738 2.9101454358
3786 1.9444689956
5000 10.0895238851
evaluations raw_y
1 29.5933161813
2 15.2321552318
5 11.5473522077
6 6.5753715930
40 6.3381672717
53 5.6394596159
54 5.5441617742
62 3.3342343261
185 2.2373494231
1841 1.5658720551
5000 20.8702895769
evaluations raw_y
1 15.8162795814
2 14.5304826747
4 4.1866750561
31 2.0600798721
2664 1.8981323151
5000 17.5582132359
evaluations raw_y
1 13.5256102559
2 12.9566309241
4 11.4576918971
5 10.2901083151
9 7.0511185311
19 6.9239193193
37 4.8477115728
142 2.0760939526
2527 2.0645890073
5000 22.2400453858
evaluations raw_y
1 11.2355813114
2 9.9109521324
3 9.0719428704
6 8.0630363983
35 6.1032663904
56 3.3801143778
148 2.1051096495
3045 1.4210227588
5000 21.4251538658
evaluations raw_y
1 14.9297215459
2 9.0500335996
7 6.0799765943
8 5.8593435915
25 4.1552976193
30 4.0687083093
365 3.4929512001
388 1.8284375659
1565 3.2017686741
1863 1.3108146862
5000 9.5178087531
evaluations raw_y
1 16.9228572841
4 15.6584199640
5 7.5943448164
9 6.1457498738
35 3.9816316626
1051 2.3714075515
1351 1.5026661057
2239 2.8938936797
2494 2.7653581254
5000 18.5977653810
evaluations raw_y
1 34.4110194474
2 22.4508493607
3 19.9681151792
4 6.6266369589
9 5.9651402933
51 4.7495595916
70 3.5502583684
214 3.8596628675
245 3.5811177431
841 3.1078482069
1130 2.9529382273
1558 2.2928102052
5000 6.1857986322
evaluations raw_y
1 13.7231882458
4 10.5050533103
10 10.4260685614
44 9.7164529280
50 8.4194494192
60 7.4265052572
81 5.4946691700
106 4.8704761378
155 3.3669643571
654 3.0620180085
1909 2.8261856698
2333 2.4286230495
3853 2.2550354120
3982 1.7302870075
5000 9.6570214142
