evaluations raw_y
1 12.0938857702
10 11.1125911225
21 8.7873307885
38 8.7684846921
66 8.6242802187
91 7.1774762319
95 6.4039349961
100 5.9418330179
122 5.4192643961
130 4.5706744151
192 4.5026874424
265 3.9339575448
395 3.6061412737
692 3.4178238079
1318 2.9332280509
4673 2.1209962537
5040 13.1432231626
evaluations raw_y
1 17.2038224846
2 10.4575556294
3 5.7916701256
24 4.6555093124
104 3.7436389872
132 3.3481030200
320 3.1510380863
730 1.9503236398
5040 12.6378115478
evaluations raw_y
1 20.3141594601
2 5.4335494845
45 2.3761170646
5040 22.5571255343
evaluations raw_y
1 28.6416873560
2 5.6802052443
4 4.3770480220
54 1.9882560561
5040 5.6073592906
evaluations raw_y
1 24.9294403128
2 12.5570886504
4 6.2417337106
24 4.9006757645
111 4.5064091131
255 4.1532033144
795 3.7357059193
836 2.8692920221
892 2.6655345729
3329 2.7202378561
4124 2.3524692327
5040 18.4513298342
evaluations raw_y
1 17.4184630241
2 8.1803286306
7 6.9220963725
20 4.5108382506
43 3.7321248406
256 3.7197475383
932 3.5589924106
1003 2.4234777687
4933 1.5292341491
5040 16.3500934343
evaluations raw_y
1 19.6952657103
2 19.0153649274
3 12.4501331323
5 8.3426516085
22 2.6318014988
5040 13.2413600409
evaluations raw_y
1 10.9961441978
2 7.6618234981
22 6.2873921898
28 5.5810084648
70 4.6549129699
92 3.8754467070
697 2.8529641400
732 2.6927583908
881 2.3379988623
2262 2.2580521773
5040 15.6161736609
evaluations raw_y
1 8.9818138065
2 6.2440148673
6 4.3175210961
57 2.1535545300
5040 31.1452134861
evaluations raw_y
1 17.8666607785
2 15.3552271186
3 14.1442390239
4 8.0500779795
10 5.1373665109
13 3.7577872602
127 3.5624768517
1012 2.7291006825
1075 2.4710816820
5040 19.0849824310
evaluations raw_y
1 19.2793003956
2 11.5472360210
3 11.4819917375
7 9.4824866633
10 8.5378862671
18 7.0660860595
26 6.4006925082
43 5.8534483672
187 2.3727007467
5040 23.3996063900
evaluations raw_y
1 23.6732584243
2 7.7627343706
10 7.3068613761
22 3.5043418939
139 2.9735564565
463 2.5531952519
4586 2.2748515979
5040 18.2569323028
evaluations raw_y
1 12.1671133510
3 7.5040048902
21 6.2066743864
41 4.8007875162
461 3.3143048424
693 3.2859113893
1317 1.9308454126
5040 14.7907960865
evaluations raw_y
1 29.5823725195
2 15.7421191419
3 13.9309160200
7 11.8971794056
13 10.6605415593
15 10.1727432284
16 5.6091044418
36 5.3085414529
52 3.9997015027
115 3.6998246900
665 2.6191781973
2923 2.0735438904
3692 1.6716346368
5040 16.2970246946
evaluations raw_y
1 17.2972840282
3 15.5247538277
5 10.2038202737
10 6.1637154555
54 4.7803548764
61 4.1109059592
482 3.0747845143
1579 2.3068005902
5040 17.2344078348
evaluations raw_y
1 18.9776592491
2 14.5730476425
5 6.3707356178
7 4.5372096692
250 4.2725250657
380 3.1514911636
731 2.2624800149
1220 1.9363933019
4597 1.8809792029
5040 5.9252191030
evaluations raw_y
1 15.6096229251
2 6.5688786587
26 3.6668466242
390 3.2473504929
1386 2.8711668691
1728 2.1950284229
2860 2.0355732832
5040 18.4523994422
evaluations raw_y
1 11.6492903565
5 8.6822502303
8 8.0535478001
21 7.2848844779
28 7.1050023922
33 7.0336166515
42 7.0374089920
46 4.2585661346
664 3.9433878649
668 4.0610404163
866 3.8113022741
1740 1.5777264916
5040 15.6624236124
evaluations raw_y
1 19.4424567960
3 8.5933921005
8 7.9645661299
16 7.7647752768
25 6.5342614781
44 5.6868275408
52 2.9707075043
2970 2.8130875715
5040 15.2088562368
evaluations raw_y
1 17.6258102072
2 13.8470748611
5 6.1016622595
8 6.0611017680
44 3.9122922806
268 3.1712091120
742 3.2788631589
1728 2.1655201010
5040 13.8474867112
