evaluations raw_y
1 8.9160987619
2 6.4691826559
3 6.2714762218
6 4.5508971996
178 1.6443759049
5000 14.6731521361
evaluations raw_y
1 7.3764463434
4 5.0804144802
58 4.9781906285
101 2.8013314350
125 1.8837237232
5000 2.6711089751
evaluations raw_y
1 11.8321577255
2 6.7383704413
8 6.4189036514
45 5.5374358270
151 2.9819746720
1190 2.5366430095
1317 2.4959617360
3846 2.3227737010
4921 1.6963928169
4986 1.6590175396
5000 1.8095949923
evaluations raw_y
1 9.6679270781
27 5.4856659770
123 4.1187945205
169 3.1497647614
343 1.9515043626
5000 39.2435915498
evaluations raw_y
1 15.9607669487
3 11.5606195796
8 5.7101807066
83 5.5726227954
108 5.3049011610
162 4.1196736446
487 3.1895401159
984 2.5966060708
1782 2.5947984958
2569 2.3380746458
2793 2.2170887348
4176 1.7421452690
4806 1.4964939367
4823 1.3352603750
4967 1.2889031971
4981 1.0258324074
5000 3.6372658224
evaluations raw_y
1 8.6875127743
6 8.4491171606
12 8.2284598802
13 0.7719114924
5000 1.4722753794
evaluations raw_y
1 22.1192893036
2 6.7191654734
6 5.7951192872
47 5.7144762444
63 5.1817982925
81 4.1082356345
149 2.9857503626
3859 2.1354531084
4098 1.3479429007
4279 1.2021809037
4289 0.7953637621
4385 0.6989561626
4559 0.6233185270
4622 0.6097545846
4629 0.5944842227
4642 0.5559814111
4841 0.5468107121
4881 0.5456657761
4892 0.5214796647
4910 0.5175495273
4917 0.4989774969
4958 0.4976421434
4968 0.4943228919
4985 0.4841618638
5000 0.5330603895
evaluations raw_y
1 17.5587612895
2 10.0474457649
38 5.1311181519
53 4.2065622288
327 3.2918457830
567 2.3120958486
1642 1.4137954418
1783 1.3652339179
1819 0.9972866724
1877 0.7377955961
1952 0.6659130497
1982 0.6565842952
1986 0.6290712405
1997 0.6284519955
1998 0.5911554980
2026 0.5822814687
2059 0.5334462918
2184 0.5132593204
2203 0.4295901869
2256 0.4219599392
2399 0.4045756629
2464 0.3908625422
2482 0.3851248940
2493 0.3790937426
2548 0.3662884315
2611 0.3651597580
2626 0.3573196882
2674 0.3536600668
2747 0.3479857447
2790 0.3474256961
2808 0.3463056968
2855 0.3458898597
2888 0.3413088672
2919 0.3408339199
2924 0.3388772079
2941 0.3387005089
2943 0.3376205469
2950 0.3371331153
2958 0.3365634632
2961 0.3356967912
2965 0.3339136478
2981 0.3312442236
3033 0.3308238442
3051 0.3297849110
3082 0.3296447297
3084 0.3288200417
3103 0.3279414440
3118 0.3270912666
3125 0.3263285422
3261 0.3262518239
3280 0.3258677504
3323 0.3256921978
3372 0.3253573846
3385 0.3251828592
3452 0.3249313541
3470 0.3248541298
3485 0.3248529179
3499 0.3247087285
3501 0.3246052752
3569 0.3245736620
3588 0.3245337953
3606 0.3243570592
3629 0.3241313656
3716 0.3240985410
3792 0.3240379021
3826 0.3239918179
3830 0.3239827190
3854 0.3239158126
3928 0.3238989153
3944 0.3238951699
3945 0.3238818405
3952 0.3238704857
4020 0.3238597371
4032 0.3238358540
4043 0.3238239414
