evaluations raw_y
1 21.3940549353
2 7.6177458034
29 4.9874467562
117 3.3556757693
1530 2.6705104848
3561 2.2123082208
3948 2.1960839260
5010 10.3761964867
evaluations raw_y
1 14.6584262827
2 14.4892298836
3 12.0303157976
16 10.0718577860
25 9.1489811477
28 8.7367727409
43 4.6008682576
45 4.4629249983
79 3.6533018600
676 2.9956137185
5010 13.3919733334
evaluations raw_y
1 19.4450464418
2 10.4963582383
6 6.0732369694
79 4.7404477981
132 4.7136860574
206 2.8237928992
412 3.7216557382
497 2.7073870711
498 3.0080808837
1739 2.4860075227
5010 13.1362473656
evaluations raw_y
1 15.8595669411
2 13.8426183620
4 6.3810734873
9 6.1075836191
12 5.6649128841
85 5.2164868223
289 3.5108243411
683 2.8694572690
1466 2.6539351518
3042 2.2713709419
5010 18.8354264584
evaluations raw_y
1 15.6002174681
4 8.9983064697
9 7.2830542100
22 6.2707062259
27 5.4991813089
170 3.3059747864
192 4.4463631659
318 3.3360758475
1303 3.1963171831
3471 3.0804674567
4373 2.2633518327
5010 4.2692994915
evaluations raw_y
1 10.5737609254
10 6.9277878003
16 6.7775526013
48 4.0246174067
257 3.6791995924
379 2.5519096836
533 2.2248106707
4937 2.2358172838
5010 16.2891280370
evaluations raw_y
1 5.8369989643
7 4.1257554451
294 3.5558662352
470 2.6788174706
3057 1.5859359264
5010 22.1045487434
evaluations raw_y
1 24.7429493859
3 6.8187259155
23 5.0050796967
201 3.0259826398
386 2.1788846006
2627 2.0004848832
2896 1.7583995276
3417 1.0277657136
5010 11.0588963322
evaluations raw_y
1 20.6769687187
3 17.2179710454
4 16.6246293363
10 16.2951765935
13 15.6342264235
14 14.3114348258
15 3.3153866196
318 2.1891991567
5010 8.0337216329
evaluations raw_y
1 20.6833871584
2 10.5381679146
8 9.3507049682
14 6.5628695198
25 1.7504752936
5010 9.1891439515
evaluations raw_y
1 13.6989511186
3 13.5133652729
7 12.1690506800
9 11.9291675454
10 6.2551744865
20 4.2730123262
140 3.2790377792
1153 2.7382255892
2513 2.6873165787
3435 2.6402536243
4620 2.5196594051
5010 6.4544604773
evaluations raw_y
1 23.4321103430
2 19.0057814087
3 13.8582266754
5 7.1233238528
23 6.1303686218
54 5.1483144334
179 4.9127271385
408 4.2760210087
676 3.9984195694
1336 3.7554499338
2177 2.7408222326
2785 2.3485566518
3233 1.8185703846
5010 15.0142002781
evaluations raw_y
1 16.9533876587
2 16.5207004365
8 12.9443754018
12 5.5909878914
14 5.1485903295
254 2.9828142049
2626 2.6902820525
4097 1.9358581662
5010 14.3560894193
evaluations raw_y
1 11.6319622739
5 10.1666335671
6 5.0622729922
12 4.5121511728
104 4.1573573768
120 3.1465147043
462 3.1935971979
582 3.1515640185
737 1.4483308406
5010 13.7340319148
evaluations raw_y
1 10.0634604779
2 8.2908555247
14 6.4245522244
25 3.9346562001
60 3.6568645083
493 2.9991991264
1906 2.8385131954
4559 2.6765515449
5010 10.9364025941
evaluations raw_y
1 9.3367952849
14 8.1485649669
19 7.6139982379
20 2.3294495302
1918 2.0498544834
5010 22.7471146730
evaluations raw_y
1 21.5199136595
2 10.8241413503
10 8.4004294951
51 7.4300833280
52 6.3538474925
55 6.1778173480
165 3.0596175809
470 2.7352804683
2632 1.9446661204
5010 14.6318000093
evaluations raw_y
1 14.7836281207
2 8.0524395869
16 5.9749939873
55 5.5376978427
57 4.3330444472
85 5.2276120768
204 4.0760274108
476 4.0214915847
502 3.5186039310
982 3.1932192753
1134 2.7044751570
1402 2.0585151468
5010 7.3179879747
evaluations raw_y
1 32.8679424255
2 13.0408878389
8 7.5931504256
22 6.8142819673
72 4.7090926450
407 3.7669363968
895 3.4594336914
2098 2.9766953582
4373 1.9748128628
5010 24.1599800993
evaluations raw_y
1 6.8844301566
23 4.4025662333
466 3.9314106534
491 3.9299660366
496 3.7536338680
1001 3.8919327213
1860 3.6244444252
3088 2.7549327450
3222 2.5015962049
5010 12.1963900517
