evaluations raw_y
1 14.8979429760
2 12.2778416298
4 12.2312349355
13 6.6417120161
28 5.5091931998
48 4.8721158294
71 2.7152325268
934 2.5500604140
1142 2.4778232308
1351 2.4096434674
1634 2.0355442689
5005 22.2293215351
evaluations raw_y
1 12.0137715410
7 5.0765133356
41 3.7986563042
251 3.2978833418
1221 2.7376659502
3063 1.7962030323
4203 1.7478364735
5005 6.8413743158
evaluations raw_y
1 14.5684187635
2 9.0118815867
3 5.7945722311
15 3.9470286941
188 2.5887931894
1144 2.0419943602
4204 1.9981183054
5005 29.3024198144
evaluations raw_y
1 5.6368120982
41 5.4455207955
50 5.0714603725
134 4.6822345312
209 4.0806987086
289 3.2797050899
966 3.2571696698
1352 2.3979236195
5005 28.3331407744
evaluations raw_y
1 14.3628868282
3 13.9767620456
6 13.9365526279
7 11.7336726261
11 3.1739559850
93 2.8182565173
780 2.7465627242
1011 2.5214274208
1313 1.9440865298
4429 1.7160738105
5005 11.5275022487
evaluations raw_y
1 20.5696358654
2 4.4740919262
319 3.5618148375
421 3.4661002525
528 3.3189917050
743 3.2426501974
1916 1.6394656400
2451 1.6257152321
5005 15.6919074485
evaluations raw_y
1 11.3632759182
4 6.6552646658
22 5.3744422347
43 4.0794987005
367 3.4050485345
395 3.3414148045
633 2.9002876585
712 2.5970761479
3120 2.4647287000
5005 30.1416309949
evaluations raw_y
1 12.4059707811
5 12.1030419024
6 3.3285590349
1166 2.5416756815
3802 1.7011662728
5005 26.1078822965
evaluations raw_y
1 16.7597661870
2 13.3007936409
5 6.0823307512
20 5.9281212499
69 4.3531492422
183 3.1518660037
686 2.4236035263
1417 1.8178926037
2950 2.2875893653
5005 12.2179879667
evaluations raw_y
1 20.6303957293
2 14.0097338090
3 12.5055658078
5 9.8758600523
10 8.4680686442
25 6.1960698737
28 3.8514040613
542 3.7230262344
584 3.3099104978
1736 2.8763637002
2772 2.8741262555
4644 2.4822380530
5005 15.6620800552
evaluations raw_y
1 25.2716158532
2 8.7321664571
20 6.9773804191
44 5.3012739132
79 5.1358465605
296 3.5781107527
1459 2.6464589217
2017 2.5207769527
5005 8.0081150541
evaluations raw_y
1 16.6139493822
3 15.3649661344
4 11.4611911735
6 7.5610899550
13 6.4119923496
34 5.7563546076
70 3.9008533045
185 2.7453824670
453 2.6459044699
858 2.4815981408
1887 2.4218130226
3569 2.2548590577
3680 1.0629188793
5005 10.2384099719
evaluations raw_y
1 15.9435201000
3 14.9207729619
5 8.6304749834
13 6.1637695233
30 5.2974002731
94 5.0808796822
127 3.9368249848
160 3.5711447287
414 3.3537301799
920 3.3144569996
1228 2.9866353520
5005 12.6916413113
evaluations raw_y
1 26.0224977087
2 19.4244690903
3 7.2929539921
9 3.6141698457
26 1.0186715177
5005 12.9653410807
evaluations raw_y
1 18.3882367731
3 14.9631563340
4 6.1804954969
78 5.2557490369
152 4.9515300334
265 4.8737281195
365 2.5567269650
1503 2.4516245687
2770 2.3376914868
5005 29.8840071819
evaluations raw_y
1 7.3709762450
17 6.8266270906
36 6.4966576093
47 4.7582321937
83 4.3099801933
130 3.4617485448
460 3.3748708206
1884 3.2483879170
2565 2.9312667723
2883 2.9036232017
5005 11.0730167656
evaluations raw_y
1 18.0394600616
2 8.2824537819
23 4.2771663735
147 3.5767450159
419 3.2900199018
547 2.7385423748
1303 2.2836730009
2310 1.8446828170
5005 10.1029374726
evaluations raw_y
1 15.0357817705
2 7.5417254334
53 5.9029450899
54 4.5715246533
63 4.9498573180
90 4.9596271690
93 4.3314231857
152 4.0485865232
580 3.0411449690
1608 3.2819068468
2207 1.8915527173
5005 21.4250779367
evaluations raw_y
1 14.7197435836
2 11.3308146411
7 8.7504532558
11 6.6676922409
156 4.7196739699
615 4.0486916411
631 2.8529904508
1025 2.1432574736
2770 1.9012118415
5005 16.8746021614
evaluations raw_y
1 10.2138876401
9 7.3904578939
87 5.9524632897
123 5.2406939079
148 3.7891688707
383 2.0437172935
4104 2.1203547440
5005 10.6819138331
