evaluations raw_y
1 12.4922374062
5 5.4580629040
21 5.1394972680
61 3.8137399967
73 2.9146365480
1105 2.6624144652
1936 2.3498780622
2017 1.9022147320
5000 29.7733928314
evaluations raw_y
1 26.3348159140
2 14.6218238414
9 10.4216757299
15 5.6534903747
23 4.6914286170
131 4.3820835091
247 3.3814078779
828 3.0308608357
1134 1.7508224800
5000 9.8248249133
evaluations raw_y
1 40.5967661282
2 22.7325794838
3 10.5075805089
4 9.6910980468
5 8.6893079151
6 6.8906717581
12 3.2927865785
1214 1.4925418972
5000 25.8151263262
evaluations raw_y
1 12.8007665811
2 6.3569207180
30 4.2673264977
219 4.1452126889
246 2.7087439596
286 2.3903624643
1236 0.8845810064
5000 10.1094888831
evaluations raw_y
1 14.5819665443
2 11.6517709891
4 11.3710849467
13 8.9014437575
30 8.0187081299
34 6.1503800197
59 4.4564069412
593 3.5489680618
1249 2.7959668540
1435 2.8771284796
1656 2.3158776033
1910 2.3470031550
3056 1.7142736424
5000 10.7939214607
evaluations raw_y
1 14.7174765622
6 13.4227948199
8 12.1965031465
9 6.4895612324
61 3.0552288665
403 3.6523018987
1451 3.6100358570
2274 2.5485427015
4344 2.2869976481
5000 8.8773536991
evaluations raw_y
1 15.7921738132
3 14.5482386698
4 7.2731559166
34 7.1256556447
35 3.8138753697
80 3.1945879708
1713 2.8443357618
2479 2.7317227073
3694 2.0605080797
4106 2.0531165492
4313 1.7010925066
4477 1.4711429452
4557 1.4559530488
4558 1.3062263557
4663 1.2266928834
4704 1.1973185528
4785 1.1256749292
4786 1.1163128359
4801 1.1078151396
4806 1.0882193020
4865 1.0204314488
4907 1.0032531935
4971 0.9601944168
5000 2.6883191221
evaluations raw_y
1 8.1973347757
14 4.5501460282
27 6.7809887396
45 6.1335179648
83 4.3176348715
538 3.5562234368
904 2.0818678966
3625 1.6878481172
5000 7.3115705703
evaluations raw_y
1 9.4644751098
3 7.4739705144
10 7.3655912185
12 6.8413698205
27 6.1024063857
66 4.5033223461
135 4.6775991794
193 2.8586766459
211 3.3219108257
925 2.7343146224
2961 2.5839583726
3044 1.7812014328
3174 1.4122959233
3579 1.1604764027
3672 1.0198011011
3713 0.8968802604
3897 0.7341106185
3933 0.6937159833
3959 0.4671222942
4007 0.3177422251
4683 0.2553521072
5000 0.3477212469
evaluations raw_y
1 7.2112609934
8 2.5020173619
3743 2.0128546450
4982 1.8336764925
5000 4.1854758123
evaluations raw_y
1 19.0642952385
2 8.4485835798
32 6.1362597211
88 6.0314510608
154 4.4483464441
202 1.7310144040
5000 10.4757481767
evaluations raw_y
1 24.5295524949
2 10.1537856783
8 8.8214042617
26 8.3340911642
38 6.8558063323
143 5.1074518472
202 4.1758446353
300 3.1288636202
685 2.8751252842
996 1.8780563611
3358 1.7081849682
3451 1.4008782492
3454 1.0788511898
3484 1.0684427293
3541 1.0361602120
3628 0.6716751757
3738 0.6449491019
3789 0.6120568172
3806 0.5901118995
3820 0.4841733007
3868 0.4694451285
3975 0.4404512210
4032 0.4362173502
4242 0.4346738928
4271 0.4301230540
4313 0.4288990134
4421 0.4201296284
4449 0.4143065689
4470 0.4005719920
4520 0.4002197196
4542 0.3967802784
4609 0.3947430102
4620 0.3878311566
4626 0.3848468133
4651 0.3827351504
4710 0.3612519453
4737 0.3586088932
4761 0.3408148334
4803 0.3390385820
4806 0.3386948258
4816 0.3359837854
4819 0.3314463842
4862 0.3274907525
4929 0.3239168338
4996 0.3239386042
5000 0.3274540832
evaluations raw_y
1 14.0594293371
9 6.6411449679
17 5.6878670602
36 5.5748613652
44 3.8187386101
204 3.2381554792
866 2.7683086468
1657 2.5796280891
1901 2.1227930881
5000 10.2761108684
evaluations raw_y
1 21.6911414752
2 10.5602343847
4 7.2737878963
10 5.6913710839
91 4.3321817953
250 4.4253414640
302 4.0894396753
384 3.5798717701
526 3.5051273551
1389 2.6766016568
3332 2.6490301831
3426 2.4380358069
3642 1.9485421148
3952 1.8398854892
3990 1.3499607042
4088 1.3361186386
4094 0.9604489636
4142 0.8399107164
4489 0.7431795055
4529 0.4571084128
4676 0.4241163413
4700 0.3407503936
4880 0.3338702108
4988 0.3284281031
5000 0.5686871733
evaluations raw_y
1 14.1755697499
3 13.7272583641
7 13.6701732117
8 10.6196284679
17 9.9044616635
21 7.6605267606
34 7.2700662449
62 5.7630884212
91 4.9328171233
119 3.3268925838
1730 3.1242075707
3325 2.0218883239
3820 1.7381992264
5000 27.2560560818
evaluations raw_y
1 19.0802709161
2 10.2430369747
14 7.2790658245
28 5.1870987829
146 4.9413102346
192 4.5391300020
277 3.4824552202
3572 2.9502098274
4577 2.0575838884
5000 16.9180128855
evaluations raw_y
1 29.9490478702
2 20.4817452642
4 18.2563560267
5 14.3968788120
9 6.3557102524
16 3.3411824641
1802 2.2182243586
3614 1.9166553954
5000 11.3009523036
evaluations raw_y
1 11.6249011775
5 9.5727427228
10 3.5527147082
447 2.5670748126
607 2.1696803321
1693 2.0494512401
5000 18.6280155545
evaluations raw_y
1 31.6056252510
2 14.8946979769
4 12.9203672465
5 9.7752340547
16 9.5658236052
28 8.4225391049
29 8.5522438328
31 7.6649194291
34 7.4333874077
68 6.4759859500
73 4.8412575043
272 4.2830615570
291 4.2581952201
292 3.2018670339
309 2.9681039328
327 2.8776758752
969 2.8703100680
1110 2.5145486365
5000 10.4831099739
evaluations raw_y
1 19.0564064577
2 10.8270867893
18 5.5084674639
107 4.4786479222
126 3.5312757540
700 3.7926651648
767 3.7752507226
982 3.7119563649
1118 3.4607580021
1179 2.3434235970
1907 2.0609878571
5000 12.8328374771
