evaluations raw_y
1 13.2347683421
3 9.8305138424
9 6.5907097902
21 5.5866807750
41 3.9929665674
159 2.6066621458
1330 2.1638281026
2439 2.2055362141
3743 2.0363142901
5000 6.9504846260
evaluations raw_y
1 10.5991660081
5 9.6698068887
6 9.1440881200
7 6.6918335017
15 4.0959658709
85 3.4687284701
332 3.3806275960
1911 2.5427325057
2044 2.8416462551
3468 2.1583496660
5000 17.8905136917
evaluations raw_y
1 20.8670621077
2 9.2081686989
8 9.3337875693
11 7.9343884329
14 5.7665670578
28 4.2818882628
942 4.1492204435
1006 3.9125132434
1266 3.8217970274
2449 3.6972317020
2472 3.0403204304
2507 2.7033410520
3834 2.1958402784
5000 25.0917814355
evaluations raw_y
1 6.0988381530
45 6.0868688965
58 5.3434363880
86 5.3317805541
162 3.8359783825
499 2.6895328694
1217 1.8021119579
1418 2.0972416844
2658 1.8249079672
5000 23.6267334727
evaluations raw_y
1 7.3039766344
20 5.5731222558
126 2.9860202161
260 1.9106018101
4373 1.7449043435
5000 11.3058771162
evaluations raw_y
1 24.9326965834
2 6.2036714247
9 5.4108629187
15 5.2399589792
47 3.5821764057
50 3.2451566561
2039 2.2201095400
3555 1.7399462956
5000 14.4209780815
evaluations raw_y
1 29.2189068492
2 10.6928588690
8 9.0016689648
21 6.8433412287
39 4.1863295522
640 3.7576470884
855 3.4487263581
1192 3.5348077748
1428 2.7695747477
5000 24.1273299112
evaluations raw_y
1 13.9921665092
6 11.1127085087
12 7.9111897936
16 4.5770525631
81 2.6160653606
5000 15.3001175976
evaluations raw_y
1 10.5783996083
3 4.2115969734
235 3.9067007720
438 3.4671686884
492 3.3455656018
2824 2.4102318206
5000 8.7654666428
evaluations raw_y
1 27.7828582871
2 11.4707987681
3 10.1211713345
4 8.9664201909
7 4.2848178720
423 4.2358591194
552 3.2596168707
647 1.7760657369
5000 16.3234652876
evaluations raw_y
1 16.4798499444
2 10.3953823498
3 8.5479444975
6 7.6308844134
31 5.6530662029
198 4.9618208378
315 4.6112984034
323 3.7539219264
952 3.4866515762
999 2.5905916397
1253 1.4909277362
5000 8.0907105236
evaluations raw_y
1 16.3999732632
2 14.1270848919
3 7.2012431581
10 5.7084361450
29 4.6054915395
657 3.4997235016
1252 2.5062636000
2153 2.2437992304
5000 15.3586365772
evaluations raw_y
1 23.2505138559
2 17.0400780673
11 6.7620179613
53 5.6084965048
72 5.2151039570
86 5.1686694655
92 4.3231915972
154 3.3426603362
645 2.7605419769
3072 2.5759240905
4388 2.3560717371
5000 13.7763956415
evaluations raw_y
1 13.3861247855
3 10.9546490480
10 9.3521298631
16 5.0432252024
30 4.9051850169
62 4.7259966822
102 4.1590893086
182 3.1599700417
810 1.9157406797
1891 2.4052374459
5000 12.7455492409
evaluations raw_y
1 12.4957300995
2 9.1694208707
6 7.2716042243
23 5.4742349272
37 4.8314279465
283 4.6987859797
353 2.6960054811
2294 2.6789356111
2554 2.1742475855
3966 1.1974060867
5000 14.5882408821
evaluations raw_y
1 21.8234679469
2 11.6121401441
14 6.2651202151
21 6.0056471808
43 3.0015292114
2173 2.1549553080
3224 1.8129089025
5000 10.1263853748
evaluations raw_y
1 12.2290588472
4 5.9698350140
7 5.4075318096
149 4.5862834918
391 2.4129586338
3852 2.2651699811
5000 5.3362046180
evaluations raw_y
1 11.3476022668
9 9.1266213041
15 8.2705747436
38 6.0342898691
43 5.1336458660
71 3.1358197714
807 3.1051796199
1159 2.6343773187
4879 1.5517954643
5000 19.5016158606
evaluations raw_y
1 9.5563591193
9 8.7835308437
14 7.0361769335
33 4.4630125569
41 3.7836604529
195 3.3801933315
430 1.4762561866
5000 9.2717538483
evaluations raw_y
1 13.7901851452
7 6.5994363758
10 6.2021133191
12 6.1395666130
25 5.6943668136
127 5.1505540213
306 4.5790321192
344 4.1464558957
913 3.6346718401
1080 4.3748673736
1363 2.7337375547
2136 2.8076073138
5000 15.4755213945
