evaluations raw_y
1 3.4253074752
906 3.0567467153
915 2.6724176388
1216 2.4691825488
5000 14.0366347013
evaluations raw_y
1 22.9093355488
2 7.7118496383
7 4.8035292136
154 3.8630628853
467 3.1677134897
470 2.0943497877
5000 15.3281712952
evaluations raw_y
1 13.2395751441
2 9.5865310733
3 7.5124626203
11 2.2408044339
2742 2.9504935414
3553 2.2982955512
4805 2.0837399982
5000 21.6460992152
evaluations raw_y
1 29.6858414971
2 7.0486677488
57 5.5248208424
88 5.1953113869
139 4.5953635809
190 4.0238396617
336 3.1944095880
1470 3.1583490864
1920 3.0943068724
1954 2.5472420878
2156 2.4500460273
3632 2.4399655584
4720 1.8986258679
5000 19.7842876518
evaluations raw_y
1 23.9955399644
2 12.7845071941
4 9.6168585266
7 7.8121087668
21 7.4552878721
39 6.3319323955
120 6.1963789389
160 5.3825066999
176 3.3983800261
1622 3.3773083445
2262 2.2678588748
5000 8.5942478016
evaluations raw_y
1 15.4877425878
2 13.4477341778
3 4.4911140800
10 4.5442198644
65 1.7616445318
5000 15.8385545809
evaluations raw_y
1 17.3923668272
2 15.9205041494
5 12.9004811974
12 10.7311941243
18 5.6304129915
27 4.3008795878
70 4.4395265401
299 3.8005365851
483 3.5360300817
622 3.4231496602
1353 2.4650118049
3569 2.0766606266
4303 1.5874597682
4358 1.5719783894
4401 1.4752082415
4415 1.3960361732
4416 0.9980394742
4467 0.8903383267
4549 0.7928996045
4565 0.6886163260
4709 0.5744986155
4754 0.5522437022
4774 0.4680750983
4802 0.4158883181
5000 0.8281786016
evaluations raw_y
1 12.4077170348
2 13.0686494680
5 11.4047017072
7 4.7289100216
40 5.0640550519
156 3.2671414068
517 2.2405363696
2141 2.1576901274
5000 11.3939881121
evaluations raw_y
1 16.9977926882
4 9.7990593473
7 8.2893482280
8 8.1782541437
13 6.3093697715
28 3.1422149980
752 2.2528590673
2351 1.5767397411
5000 12.3581059947
evaluations raw_y
1 22.7992817210
2 17.7610368748
6 12.0847783704
8 10.7948341548
14 8.8835907468
21 4.9088154430
36 3.7577964971
339 2.9800336865
4512 2.5910730216
5000 17.1541958127
evaluations raw_y
1 21.8680525551
2 16.3765031385
4 10.9781963134
7 3.3569348880
221 3.0050958212
1941 2.6193371139
5000 9.8322749712
evaluations raw_y
1 10.9184047674
3 15.3432736287
4 14.1868403063
6 6.9974543564
11 6.3415626623
17 4.7612732543
178 4.2208132418
328 3.4142861810
1462 1.9510409902
5000 9.5676276810
evaluations raw_y
1 11.8652625504
3 8.8805382172
4 6.3537528241
26 4.7548616819
142 1.5851636378
5000 28.0059977516
evaluations raw_y
1 24.8574835022
4 9.7721248138
11 3.1405109141
1227 2.3554007650
2735 2.1924213196
3692 1.9721446058
3789 1.4770164719
4067 1.4550543194
4074 1.3197801973
4079 1.2984869921
4515 0.8947372470
4766 0.8370694866
4951 0.6351341014
4962 0.6074669712
5000 0.7534423498
evaluations raw_y
1 27.7307933917
3 24.7445758282
4 8.8583602260
12 6.7383053625
17 6.6794221083
28 4.4817951808
135 4.4771929577
229 4.4023378798
232 4.2036366727
272 3.6943486528
293 2.9030029737
3029 2.9995102201
3671 2.2598665468
5000 26.3972011887
evaluations raw_y
1 12.2961159425
3 10.6631365601
8 7.8555808374
20 3.4122744186
253 2.8156709290
1450 2.4572999902
1493 2.3708348179
3056 2.0054973027
5000 13.9399498760
evaluations raw_y
1 6.6091899342
4 6.0412096434
20 4.0670526696
121 2.0864974631
2700 1.7431530044
5000 24.2454192584
evaluations raw_y
1 19.4532719246
4 15.5130472924
5 7.7351346788
16 7.2499994262
21 5.2806691957
43 3.2855993376
44 3.0014529257
614 1.5425939706
2760 1.4522094392
5000 3.9452891571
evaluations raw_y
1 15.8280940430
3 7.3181546836
9 7.3124912367
19 5.4326304707
56 4.5654349331
128 2.7708891752
5000 25.7073858165
evaluations raw_y
1 13.0547051164
3 7.6886562433
8 4.8684489112
43 4.3496961315
118 3.3256062230
452 1.5257843957
2427 2.8473830987
2480 2.4729265824
4192 2.2493946326
4745 0.9927008619
4952 0.8795746662
5000 1.5807881112
