evaluations raw_y
1 23.8564114597
2 14.5706783156
5 6.1372042214
21 3.5338987429
5000 0.0000000000
evaluations raw_y
1 14.8592484311
5 12.3776294578
10 10.2435674575
16 5.4546089789
19 5.2605170865
24 3.8228990358
5000 20.2048540080
evaluations raw_y
1 3.8238970883
5000 26.6520230378
evaluations raw_y
1 11.7582674549
3 9.9265487510
4 9.3216191764
5 7.2820628363
13 6.4329230537
19 4.5334329471
5000 0.0000000000
evaluations raw_y
1 20.1853485183
2 5.0300177573
5000 0.0000000000
evaluations raw_y
1 8.5549263461
5000 0.0000000000
evaluations raw_y
1 23.2050867911
2 18.0918066374
4 6.7257456074
5000 0.0000000000
evaluations raw_y
1 4.8253645619
5000 0.0000000000
evaluations raw_y
1 30.9522954318
2 17.0081115149
3 12.9744865807
5 7.1355714346
8 5.5054378493
5000 0.0000000000
evaluations raw_y
1 15.6372055701
2 12.1219504324
4 12.0841804638
6 6.6267620936
11 4.8857426075
5000 0.0000000000
evaluations raw_y
1 12.2113330782
3 9.1369417628
5 4.7959394081
5000 0.0000000000
evaluations raw_y
1 9.7078110297
3 9.5211902441
5 6.1190325457
5000 0.0000000000
evaluations raw_y
1 18.6186371895
2 3.0629307423
5000 0.0000000000
evaluations raw_y
1 14.1768707285
2 11.2591891992
5000 0.0000000000
evaluations raw_y
1 18.4793026644
2 12.0947303561
4 7.9325247089
5000 0.0000000000
evaluations raw_y
1 16.3264972699
2 10.0229656731
5000 0.0000000000
evaluations raw_y
1 18.8543370374
3 11.5959402706
4 10.5846708463
18 6.8688831655
5000 0.0000000000
evaluations raw_y
1 9.3835109307
8 7.6327624926
5000 10.4775597652
evaluations raw_y
1 4.1326550442
5000 0.0000000000
evaluations raw_y
1 10.5343445235
3 7.3844673135
5000 0.0000000000
