evaluations raw_y
1 14.0127749655
7 10.3502811684
14 6.6920227716
49 5.1874097309
111 3.2815058552
1491 2.5381790327
2497 1.9425175677
3290 1.9283289985
3330 1.7736108857
3382 1.5582351911
3493 1.4045052640
3504 1.0801541308
3537 1.0245367768
3553 0.9860196149
3593 0.8929279567
3681 0.8876163908
3766 0.8514689146
3804 0.7426229685
3856 0.7292775128
3905 0.7286354700
3924 0.7190794200
3985 0.7151553166
4020 0.6786755256
4033 0.6747711903
4054 0.6336673182
4108 0.5891307047
4215 0.5457075648
4264 0.5291655663
4343 0.5132088595
4390 0.5081058288
4453 0.4952298024
4477 0.4887921132
4703 0.4872315094
4959 0.4832784711
5000 0.5370850598
evaluations raw_y
1 6.1820734635
33 2.1291825829
5000 10.8082562808
evaluations raw_y
1 7.2254975508
18 4.3840365808
87 4.0541099529
95 3.3344094455
1098 2.9460409930
1810 2.6328661456
1814 2.1327737276
5000 30.5351327741
evaluations raw_y
1 24.3236133449
2 12.7091504365
3 8.4594534417
12 6.5548380823
68 6.1028236553
82 3.4775538229
511 3.3277674165
1233 2.1819065024
2591 2.6477663514
2961 2.1133418325
5000 26.5993385835
evaluations raw_y
1 34.0607424207
2 20.8408800889
3 8.8283405237
4 6.9015145031
17 6.3394522411
67 5.7533519507
178 5.6114577075
227 5.1822581031
244 3.7291384027
305 3.5606432431
759 3.0524245027
802 2.1496538034
1478 1.2666006302
5000 20.2043180123
evaluations raw_y
1 30.2964996679
2 12.9825597211
3 10.5395682511
5 8.6772505771
10 7.5803278729
23 4.1545472962
1010 2.7135309866
1748 1.7677694958
5000 13.6210034080
evaluations raw_y
1 10.5864894718
3 7.5455044781
14 6.5070624785
19 6.4538113152
43 6.3108647644
46 6.2020464828
114 2.8673359716
216 2.7876542049
416 1.9005828095
5000 8.4017136993
evaluations raw_y
1 11.3174035001
3 6.0893392942
74 2.9660376509
1608 2.3634254802
3405 1.9166514092
3767 1.7542618486
5000 15.0338986582
evaluations raw_y
1 12.0116891563
5 5.1429122956
40 3.1287007805
852 2.2574292137
5000 12.0569571571
evaluations raw_y
1 7.8598949483
30 4.6502710931
64 4.2938897954
144 2.2015639826
5000 22.0454880234
evaluations raw_y
1 22.4387089400
2 6.1102492752
8 2.6205657035
531 2.0834104431
5000 33.3879654650
evaluations raw_y
1 20.9399668671
2 21.7493304919
3 19.7804270100
4 19.0674320738
5 18.2886876229
8 13.0088141779
12 10.2589099465
17 5.9456063275
50 4.5322096249
577 3.4734124925
941 2.1839792189
1076 2.0890994232
5000 18.5630399597
evaluations raw_y
1 20.0517759319
2 8.7639688066
3 6.7942082113
37 5.3007184321
140 4.3722912984
274 3.8920899085
345 3.1110749361
732 1.8938266783
2544 1.8798496987
3288 1.8628874054
3394 1.6747499301
3725 1.5032977803
4256 1.3171886055
4461 1.2522556947
4582 1.2100906570
4867 1.1937534350
4958 1.1228388136
5000 1.5175170712
evaluations raw_y
1 30.2939950158
2 21.4259152325
3 8.7955812571
5 3.9524794513
22 2.3266380075
1227 2.1917708165
5000 13.2281999733
evaluations raw_y
1 7.9759344493
7 8.8189669184
8 8.7413306829
11 4.8808636623
112 4.8326459564
146 4.0915466101
169 1.6945171028
5000 24.7581670968
evaluations raw_y
1 19.1873586103
2 16.4994439520
4 8.9345219329
13 4.3393755150
53 3.9971238069
239 4.1744395530
432 3.7523345638
701 3.0705278600
1509 3.0084526337
4097 2.9392418524
4167 2.2113586931
5000 13.0502011915
evaluations raw_y
1 24.0208659759
2 19.9883561416
3 16.1222161425
4 11.0163756839
18 7.6901885632
24 6.6461032566
57 4.0858219917
212 4.2272464596
268 3.8150016119
766 3.7935224745
769 3.4021090557
984 3.1499008212
2344 2.2523196003
2919 1.9779222371
5000 8.7280439486
evaluations raw_y
1 23.3671645474
2 18.1589218339
3 4.4360735415
29 2.5996365464
761 2.4000458821
1938 2.1584350518
5000 6.4204209940
evaluations raw_y
1 31.5418512160
2 8.7332142173
10 7.8066758924
13 5.4660946158
29 3.8367250591
38 2.1480143197
3711 1.8272157373
5000 9.7962724975
evaluations raw_y
1 9.4431668706
3 5.6847979920
14 3.9325386902
96 3.1970801540
1255 2.5225752352
5000 14.3512623214
